Sl no,Name of Comodity,,Year-2016,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
30,Ata :,Loose,"2,303","2,265","2,183","2,149","2,102","2,087","2,083","2,103","2,145","2,133","2,137","2,132","2,152"
(Per Quintal/Taka),,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
31,",,",Packet,"3,032","3,013","2,996","2,946","2,901","2,898","2,898","2,874","2,880","2,879","2,877","2,862","2,921"
32,Flour :,Loose,"3,061","3,035","3,007","2,961","2,926","2,894","2,905","2,886","2,885","2,880","2,865","2,872","2,931"
33,",,",Packet,"3,827","3,795","3,779","3,739","3,686","3,676","3,674","3,678","3,663","3,629","3,617","3,640","3,700"
34,Maize,,"1,894","1,866","1,821","1,620","1,468","1,500","1,588","1,626","1,648","1,642","1,620","1,583","1,656"
35,Pulses :,Mash,"7,117","7,186","6,935","7,498","8,123","8,222","8,286","8,396","8,361","7,905","7,738","7,421","7,766"
36,",,",Masur,"8,715","8,365","8,249","9,241","9,255","9,024","9,033","9,242","8,926","8,823","8,236","8,178","8,774"
37,",,",Mugh,"6,119","6,169","6,237","6,317","6,280","6,015","6,172","6,316","6,695","6,659","6,896","7,029","6,409"
38,",,",Gram,"6,072","6,236","6,460","7,289","7,652","8,360","7,851","7,988","7,994","7,558","7,968","7,981","7,451"
39,",,",Motor Local,"3,815","3,849","4,908","6,109","6,330","5,875","6,083","6,042","5,903","5,764","6,011","6,298","5,582"
40,",,",Motor Import,"3,815","3,849","4,908","6,109","6,330","5,875","6,083","6,042","5,903","5,764","6,011","6,298","5,582"
41,",,",Khesari,"3,464","3,453","3,745","4,303","4,847","4,940","5,008","4,951","4,809","5,029","5,017","5,430","4,583"
42,Dall :,Mash Gota,"9,790","9,672","9,671","10,004","10,171","10,349","10,710","10,959","10,679","10,696","10,363","10,145","10,267"
43,",,",",, Broken","9,710","9,741","9,792","10,087","10,799","10,879","11,040","11,109","10,519","10,399","10,175","9,739","10,332"
44,Dall :,"Masur Local
Gota","12,607","12,580","12,648","13,121","13,280","13,257","13,233","13,136","13,168","12,884","12,683","12,400","12,916"
45,",,",",, Broken","10,224","10,307","10,196","10,562","10,880","10,767","10,694","10,725","10,797","10,796","10,648","10,268","10,572"
46,",,",",, Import","11,824","11,883","11,849","12,044","12,126","12,275","12,277","12,221","12,238","12,527","11,880","11,653","12,067"
(Per Quintal/Taka),,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
47,",,",Mugh Local,"10,105","10,082","10,005","9,856","9,769","9,756","9,659","9,674","9,714","9,645","9,459","9,763","9,791"
48,",,",Gram Gota,"7,150","7,023","7,201","7,544","7,980","8,798","8,708","8,827","8,992","8,869","8,662","8,777","8,211"
49,",,",",, Broken","6,945","7,010","7,288","7,741","8,122","8,608","8,678","8,777","8,823","8,844","8,745","8,707","8,191"
50,",,",Motor Local,"6,474","6,532","7,474","9,675","10,681","11,418","10,602","11,797","12,210","12,463","12,802","12,607","10,394"
51,",,",",, Import","3,757","3,813","3,971","4,184","4,267","4,534","4,571","4,655","4,628","4,528","4,160","3,796","4,239"
52,",,",Khesari,"4,806","4,888","5,120","5,827","6,362","6,815","6,889","6,775","6,724","6,626","6,635","6,825","6,191"
53,Oil Seeds :,Mastard,"4,675","4,121","4,255","4,424","4,513","4,610","4,667","4,794","4,805","4,925","4,770","4,993","4,629"
54,",,",Tisi,"6,231","5,388","5,359","5,441","5,444","5,556","5,340","5,243","5,574","5,940","5,666","5,599","5,565"
55,",,",Til,"3,637","3,758","3,806","3,930","3,603","3,577","3,347","3,524","3,544","3,671","3,721","3,842","3,663"
56,",,",Groundnut,"7,777","7,892","7,852","8,112","7,380","7,387","7,533","7,653","7,575","7,747","7,836","7,891","7,720"
57,Oil :,Mustard,"12,348","12,543","12,268","12,331","12,544","12,655","12,583","12,536","12,600","12,543","12,462","12,465","12,490"
58,",,",Soyabean,"8,122","7,911","7,872","7,799","7,773","7,981","7,759","7,899","8,132","8,219","8,276","8,450","8,016"
59,",,",Pump,"5,841","5,770","5,958","6,216","6,338","6,357","6,361","6,536","6,780","6,867","6,806","6,959","6,399"
60,",,",Dalda,"8,646","8,564","8,538","8,576","8,620","8,495","8,510","8,624","8,752","8,762","8,835","8,904","8,652"
61,",,",Butter oil,"8,400","8,000","8,227","8,000","8,006","7,840","32,083","7,362","7,950","30,310","61,750","61,750","20,807"
62,",,",Coconut,"22,509","21,452","22,034","22,134","22,751","22,368","22,788","22,691","22,429","22,092","22,361","22,069","22,306"
(Per Quintal/Taka),,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
63,Oil cick,Mustard,"3,164","3,078","3,062","3,086","3,099","3,140","3,143","3,205","3,253","3,429","3,234","3,206","3,175"
64,",,",Til,"2,867","2,869","2,967","2,961","3,033","3,032","2,870","2,778","2,899","2,884","2,888","2,821","2,906"
65,",,",Others,"3,358","3,408","3,317","3,428","3,413","3,372","3,408","3,898","3,906","3,750","3,550","3,500","3,526"
66,Spices,Onion Local,"2,254","2,076","2,391","2,674","3,300","3,225","3,052","3,102","2,858","2,754","2,546","2,377","2,718"
67,",,",",, Import","2,198","1,986","1,853","1,788","1,908","1,883","2,047","1,970","1,886","1,938","1,880","1,821","1,930"
68,",,",Garlic Local,"9,684","9,231","5,779","6,678","9,298","10,437","10,821","13,763","14,690","13,969","14,224","14,521","11,091"
69,",,",",, Import","12,903","14,944","17,295","16,345","18,554","17,436","15,562","15,654","16,903","16,586","16,918","17,672","16,398"
70,",,",Dry Chili,"14,581","15,156","14,831","14,831","14,662","14,699","14,766","15,441","15,745","16,040","16,289","16,463","15,292"
71,",,",Green Chili,"3,158","2,690","2,833","2,740","3,557","2,942","3,054","4,735","9,077","8,997","4,753","3,154","4,307"
72,",,",Ginger Local,"7,014","6,597","6,566","6,398","6,991","7,964","7,885","7,862","9,503","8,738","7,649","6,223","7,449"
73,Spices,Ginger Import,"6,449","6,113","6,041","5,926","5,897","6,096","5,566","5,668","8,888","7,337","6,476","6,898","6,446"
74,",,","Turmaric
Round","13,636","13,545","13,483","13,488","13,248","13,414","13,505","13,964","14,034","14,002","14,212","13,900","13,703"
75,",,",",, Long","13,986","13,847","13,476","13,374","13,790","13,902","14,001","14,147","14,194","14,183","13,883","13,795","13,882"
76,",,",Coriandder old,"10,845","10,568","10,547","10,152","9,601","9,035","8,944","8,665","8,467","8,298","7,857","7,644","9,219"
77,",,",",, new","8,573","8,276","7,554","8,183","8,077","8,378","8,108","7,913","7,750",-,-,"9,500","8,231"
78,Jute,"White/Tosa
Top","4,875","4,812","4,700",-,-,-,"4,300","3,963","3,912","3,875","3,875","3,625","4,215"
(Per Quintal/Taka),,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
79,",,",Middle,-,-,-,-,-,-,"4,625","4,320","4,150","4,175","4,113","3,938","4,220"
80,",,",B- Bottom,"5,062","5,250","5,250","5,250","5,250","5,250","4,944","4,243","4,174","3,958","3,844","3,813","4,691"
81,",,",C- Bottom,"5,242","5,400","5,290","4,938","4,950",-,"4,675","4,279","4,313","4,255","4,212","3,997","4,686"
82,",,",Crass- Bottom,-,-,-,-,-,-,"3,900","4,300",-,-,-,-,"4,100"
83,",,",S M R,-,-,-,-,-,-,"3,900","4,300",-,-,-,-,"4,100"
84,",,",Gorsat,"4,874","4,948","4,809","4,843","4,996","5,115","4,806","4,107","4,003","3,971","3,902","3,782","4,513"
85,",,",Mesta Gorsat,"4,900","5,050",-,-,-,-,"5,100","4,208","3,967","3,971","3,852","3,416","4,308"
86,Cotton,Shimul,"41,548","40,563","39,829","39,125","39,927","40,886","41,000","40,995","40,903","41,232","41,895","38,404","40,526"
87,",,",Carpash,"15,621","14,958","14,958","14,500","14,417","14,958","15,292","15,292","15,049","14,965","15,156","15,617","15,065"
88,Wetsalf-mix Cow,Calf,"75,903","69,200","70,028","71,540","70,006","70,641","70,944","72,478","58,867","57,562","55,599","56,515","66,607"
89,",,",Calf Medium,"122,379","121,746","126,265","120,701","118,737","123,368","119,041","122,000","96,216","100,828","91,803","98,832","113,493"
90,",,",Heavy,"165,656","165,630","165,458","164,894","159,332","161,522","162,026","157,721","140,956","140,969","136,607","136,408","154,765"
91,",,",Katasera,"42,592","43,256","38,450","34,893","33,607","33,643","33,933","33,050","33,033","35,935","36,490","31,815","35,892"
92,Buffalo,Heavy,"132,738","135,000","135,286","136,845","137,262","141,125","138,304","133,179","121,540","119,369","112,619","106,196","129,122"
93,",,",Medium,"6,808","6,763","6,600","6,476","5,884","5,642","5,671","5,560","5,297","5,446","5,230","4,935","5,859"
94,",,",Katasera,"1,088","1,087","1,087","1,087","1,087","1,086","1,086","1,086","1,087","1,086","1,089","1,087","1,087"
