Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
53,Dinajpur,57,57,58,237,237,260,1689,1689,1830,1926,1926,2090
54,Gaibandha,2,2,0,-,13,0,1124,1111,1184,1124,1124,1184
55,Kurigram,21,21,4,88,88,27,678,678,756,766,766,783
56,Lalmonirhat,66,66,68,257,257,273,856,856,889,1113,1113,1162
57,Nilphamari,-,0,0,-,0,0,1822,1822,2043,1822,1822,2043
58,Panchagarh,48,48,2,200,200,33,1068,1068,1751,1268,1268,1784
59,Rangpur,36,36,38,140,140,158,1645,1645,1587,1785,1785,1745
60,Thakurgaon,44,44,46,469,469,221,1568,1568,758,2037,2037,979
7,Rangpur,274,274,216,1391,1404,972,10450,10437,10798,11841,11841,11770
61,Habiganj,19,19,25,141,164,245,1254,1359,1410,1395,1523,1655
62,Maulvibazar,213,221,221,1623,1673,1690,1726,1897,1963,3349,3570,3653
63,Sunamganj,2,1,19,8,3,2,807,762,695,815,765,697
64,Sylhet,86,96,107,208,267,230,1364,1276,1316,1572,1543,1546
8,Sylhet,320,337,372,1980,2107,2167,5151,5294,5384,7131,7401,7551
,BANGLADESH,9304,8794,11526,86124,90434,105592,120301,123874,123784,206425,214308,229376
