Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
49,Bogura,146604,59327,200.24,18.470,1095760,159657,64610,204.59,18.871,1219265
50,Joypurhat,84627,34247,234.32,21.614,740204,86683,35079,209.47,19.321,677761
51,Pabna,2981,1206,131.62,12.141,14646,2303,932,136.60,12.600,11743
52,Sirajgonj,7589,3071,142.09,13.107,40252,7810,3161,142.74,13.167,41614
53,Rajshahi,89146,36075,233.79,21.564,777945,105514,42699,270.58,24.958,1065688
54,Noagaon,52778,21358,175.06,16.148,344883,63799,25818,180.65,16.663,430207
55,Natore,2746,1111,182.19,16.806,18675,1472,596,176.68,16.297,9708
56,Nawabgonj,3663,1482,200.98,18.539,27480,3786,1532,203.34,18.756,28736
7,"Rajshahi
Division",390134,157879,210.12,19.381,3059845,431024,174426,216.59,19.978,3484722
57,Dinajpur,109415,44278,205.93,18.995,841040,120740,48861,216.13,19.936,974066
58,Thakurgaon,78303,31688,199.76,18.426,583867,57628,23321,199.19,18.373,428479
59,Panchagar,26688,10800,160.68,14.821,160069,25510,10323,214.87,19.819,204601
60,Rangpur,124909,50548,224.44,20.702,1046457,135599,54874,223.88,20.651,1133178
61,Gaibandha,23640,9567,176.62,16.291,155849,21938,8878,171.66,15.834,140572
62,Kurigram,18531,7499,221.44,20.425,153170,17447,7060,217.65,20.076,141745
63,Nilphamari,53802,21772,198.33,18.294,398298,58575,23704,209.11,19.288,457207
64,Lalmonirhat,10556,4272,174.75,16.119,68856,13080,5293,198.66,18.324,96992
8,"Rangpur
Division",445844,180423,204.76,18.887,3407606,450517,182314,212.70,19.619,3576840
BANGLADESH,,1174978,475488,216.01,19.925,9474098,1234871,499725,221.63,20.443,10215957
