Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
33,Jashore,481,501,530,601,600,602,646,658,589,1247,1258,1191
34,Jhenaidah,91,170,181,44,97,67,382,448,482,426,545,549
35,Khulna,262,861,1059,1385,1256,1224,513,1442,1070,1898,2698,2294
36,Kushtia,88,357,369,351,344,411,1176,1210,1396,1527,1554,1807
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,84,265,280,302,474,415,238,134,196,540,608,611
38,Meherpur,0,28,35,0,0,0,66,40,76,66,40,76
39,Narail,153,388,411,1890,1951,2275,2331,2553,1590,4221,4504,3865
40,Satkhira,341,300,318,544,540,549,369,537,713,913,1077,1262
4,Khulna,4772,6887,7916,8768,8973,8324,6332,7590,7794,15100,16563,16118
41,Jamalpur,174,727,769,294,453,461,1421,1435,1541,1715,1888,2002
42,Mymensing,356,1149,2140,825,62,1713,3027,3837,3409,3852,3899,5122
43,Netrakona,38,419,443,171,172,461,1037,966,2526,1208,1138,2987
44,Sherpur,42,538,40,180,225,180,1649,1681,1772,1829,1906,1952
5,Mymensing,610,2833,4015,1470,912,2815,7134,7919,9248,8604,8831,12063
45,Bogura,15,145,152,38,44,41,823,829,830,861,873,871
46,Joypurhat,9,14,15,19,22,26,45,52,49,64,74,75
47,Naogaon,1,28,25,14,14,8,215,3288,181,229,3302,189
48,Natore,127,380,399,1357,967,890,2823,2335,1970,4180,3302,2860
49,Chapai Nawabganj,0,3,3,0,0,0,7,7,11,7,7,11
50,Pabna,21,193,137,202,193,218,844,892,952,1046,1085,1170
51,Rajshahi,33,89,81,195,243,259,261,280,285,456,523,544
52,Sirajganj,1,84,89,12,0,13,595,652,629,607,652,642
6,Rajshahi,207,937,901,1837,1483,1455,5613,8335,4907,7450,9818,6362
53,Dinajpur,60,133,141,238,238,259,679,618,684,917,856,943
54,Gaibandha,183,713,1133,760,778,2594,2955,3017,1480,3715,3795,4074
55,Kurigram,1050,1082,3717,4215,3378,3365,2105,2114,351,6320,5492,3716
56,Lalmonirhat,522,479,182,1629,1992,1593,769,639,779,2398,2631,2372
57,Nilphamari,244,492,412,1951,2291,2567,1020,1017,830,2971,3308,3397
58,Panchagarh,157,594,579,1066,1065,989,2490,2442,2762,3556,3507,3751
59,Rangpur,322,433,822,753,758,1270,889,1084,755,1642,1842,2025
60,Thakurgaon,9,24,39,22,23,24,74,86,88,96,109,112
7,Rangpur,2547,3948,7025,10634,10523,12661,10981,11017,7729,21615,21540,20390
61,Habiganj,105,204,217,278,364,437,509,634,435,787,998,872
62,Maulvibazar,236,405,430,185,193,290,724,776,682,909,969,972
63,Sunamganj,44,273,289,99,132,132,537,709,720,636,841,852
64,Sylhet,1069,1793,1804,4554,3894,4099,2757,3138,2945,7311,7032,7044
8,Sylhet,1454,2675,2740,5116,4583,4958,4527,5257,4782,9643,9840,9740
,BANGLADESH,42068,76531,96190,137916,137062,155664,108947,78721,161051,246863,215783,316715
