"Sl.
no",District Name,UpaZila Name,Reserve Forest,,"Protected
Forest","Acqired
Forest","Vested
Forest","Un-
classed
Forest","TotalForest
Area
Control by
F.D","Unclassed
StateForest
R.D","Khas
F.Area","TotalForest
Area (Acres)
(F.D+R.D)"
,,Alikadam,"102,854.00",5754.98,-,-,-,2250,110858.98,28694.73,-,139553.71
,Total,7,"242,693.40",23535.4,-,-,-,38644.75,304873.55,494372.54,-,799246.09
23,Chittaganj,Panchlaish,-,-,91.67,-,-,-,91.67,-,-,91.67
,,Doublemuring,-,-,406.14,-,-,-,406.14,-,-,406.14
,,Sitakunda,"8,196.00",-,3577.46,-,3450.66,-,15224.12,-,-,15224.12
,,Miresharai,"32,900.00",-,-,-,-,-,32900,-,-,32900
,,Fatikchari,"58,310.00",-,12600.13,769.18,2629.52,-,74308.83,-,-,74308.83
,,Hathajari,"5,084.00",-,2950.94,-,-,-,8034.94,-,-,8034.94
,,Raujan,"2,388.00",-,1825.35,171.6,-,-,4384.95,-,-,4384.95
,,Rangunia,"15,041.00",-,10836.83,-,431.76,-,26309.59,-,-,26309.59
,,Patia,"17,775.00",-,-,6783.33,-,-,24558.33,-,-,24558.33
,,Boalkhali,"2,434.00",-,5.45,-,-,-,2439.45,-,-,2439.45
,,Chandanaish,"13,471.00",-,-,-,-,-,13471,-,-,13471
,,Satkania,"9,134.00",1477.45,2370.27,-,-,-,12981.72,-,-,12981.72
,,Lohagara,"10,087.00",-,8672.75,-,-,-,18759.75,-,-,18759.75
,,Banshkhali,"13,859.00",2077.07,3098.47,2166.77,-,-,21201.31,-,-,21201.31
,,* UpakulForest,-,165000,-,-,-,-,165000,-,-,16500
,Total,14,"188,679.00",168554.52,46435.46,9890.88,6511.94,-,420071.8,-,-,420071.80
24,Cox's bazar,Chakoria,42993.50,-,8344.98,-,-,-,51338.48,-,-,51338.48
,,Cox's bazar,"17,417.00",-,5464,-,-,-,22881,-,-,22881
,,Ramu,"35,902.00",-,10000,-,-,-,45902,-,-,45902
,,Ukhia,"35,506.00",-,8143.03,-,-,-,43649.03,-,-,43649.03
,,Teknap,"37,082.00",-,1569.41,-,-,-,38651.41,-,-,38651.41
,,* UpakulForest,-,"30,000.00",-,-,-,-,30000,-,-,30000
,Total,,"168,900.50","30,000.00","33,521.42",-,-,-,"232,421.92",-,-,"232,421.92"
25,Bhola,Total Upazila,"73,421.78",286578.22,-,-,-,-,360000,-,-,360000
,Total,,"73,421.78",286578.22,-,-,-,-,360000,-,-,360000
26,Patuakhali,Total Upazila,"33,085.87",116914.13,-,-,-,-,"150,000.00",-,39802.25,"189,802.25"
,Total,,"33,085.87",116914.13,-,-,-,-,"150,000.00",-,39802.25,"189,802.25"
27,Barguna,Total Upazila,"26,350.50","48,649.50",-,-,-,-,"75,000.00",-,13771.6,"88,771.60"
,Total,,"26,350.50","48,649.50",-,-,-,-,"75,000.00",-,13771.6,"88,771.60"
28,Perojpur,Total Upazila,-,"6,000.00",-,-,-,-,"6,000.00",-,1442,"7,442.00"
,Total,,-,"6,000.00",-,-,-,-,"6,000.00",-,1442,"7,442.00"
29,Noakhali,Total Upazila,-,"380,000.00",4784.72,-,-,-,"384,784.72",-,-,"384,784.72"
,Total,,-,"380,000.00",4784.72,-,-,-,"384,784.72",-,-,"384,784.72"
30,Feni,Total Upazila,-,"20,000.00",-,-,-,-,"20,000.00",-,-,"20,000.00"
,Total,,-,"20,000.00",-,-,-,-,"20,000.00",-,-,"20,000.00"
,Lakshmipur,Total Upazila,-,"50,000.00",-,-,-,-,"50,000.00",-,-,"50,000.00"
,Total,,-,"50,000.00",-,-,-,-,"50,000.00",-,-,"50,000.00"
31,Dinajpur,Dinajpur sadar,102.61,17.94,-,-,-,-,120.55,-,-,120.55
,,Birampur,"1,858.19",396.32,-,-,-,-,"2,254.51",-,-,"2,254.51"
,,Nababganj,"6,342.00","2,732.15",-,-,-,-,"9,074.15",-,-,"9,074.15"
,,Ghoraghat,467.03,-,-,-,-,-,467.03,-,-,467.03
,,Parbatipur,"2,028.63",199.49,-,-,-,-,"2,228.12",-,-,"2,228.12"
,,Fulbari,215.77,-,-,-,-,-,215.77,-,-,215.77
,,,"20th
Amendments","4&6
Amendments",,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
,,Biral,"2,603.09",126.27,-,-,-,-,"2,729.36",-,-,"2,729.36"
,,Birganj,"1,271.81",-,-,-,-,-,"1,271.81",-,-,"1,271.81"
,,Kaharole,146.57,-,-,-,-,-,146.57,-,-,146.57
,,Khansama,1.59,-,-,-,-,-,1.59,-,-,1.59
,,Bhochaganj,172.86,67.78,-,-,-,-,240.64,-,-,240.64
,Total,10,"15,210.15","3,539.95",-,-,-,-,"18,750.10",-,-,"18,750.10"
32,Thakurgaon,"Thakurgaon
sadar",30.44,-,-,-,-,-,30.44,-,-,30.44
,,Baliadangi,-,768.32,-,-,-,-,768.32,-,-,768.32
,,Pirganj,"1,048.09",4.12,-,-,-,-,"1,052.21",-,-,"1,052.21"
,,Ranisangkail,38.58,313.97,-,-,-,-,352.55,-,-,352.55
,,Haripur,-,36.08,-,-,-,-,36.08,-,-,36.08
,Total,5,"1,117.11","1,122.49",-,-,-,-,"2,239.60",-,-,"2,239.60"
33,Panchagarh,Panchagarh,-,1197.92,-,-,-,-,1197.92,-,-,1197.92
,,Tetulia,1.59,"1,044.51",-,-,-,-,"1,046.10",-,-,"1,046.10"
,,Debiganj,-,"1,527.10",-,-,-,-,"1,527.10",-,-,"1,527.10"
,,Boda,31.69,808.50,-,-,-,-,840.19,-,-,840.19
,Total,4,33.28,"4,578.03",-,-,-,-,"4,611.31",-,-,"4,611.31"
34,Rangpur,Mithapukur,365.56,-,-,-,1313.64,-,"1,679.20",-,-,"1,679.20"
,,Pirganj,887.89,-,-,24.02,333.62,-,"1,245.53",-,-,"1,245.53"
,,Badarganj,422.69,-,-,-,99.29,-,521.98,-,494.41,"1,016.39"
,Total,3,"1,676.14",-,-,24.02,1746.55,-,"3,446.71",-,494.41,"3,941.12"
35,Nilphamari,Domar,-,-,127.40,-,365.36,-,492.76,-,11.43,504.19
,,Dimla,-,-,192.41,-,150.12,-,342.53,-,1241.15,"1,583.68"
,,Jaldhaka,-,-,328.78,-,36.01,-,364.79,-,176.07,540.86
,Total,3,-,-,648.59,-,551.49,-,"1,200.08",-,1428.65,"2,628.73"
36,Kurigram,Nageshari,128.61,-,-,-,-,-,128.61,-,-,128.61
,Total,1,128.61,-,-,-,-,-,128.61,-,-,128.61
37,Lalmonirhat,Hatibhandha,82.62,-,-,-,-,-,82.62,-,-,82.62
,Total,1,82.62,-,-,-,-,-,82.62,-,-,82.62
38,Naogaon,Niamatpur,28.27,-,575.79,-,-,-,604.06,-,-,604.06
,,Porsha,"44,.72",-,-,-,-,-,44.72,-,-,44.72
,,Dhamairhat,330.95,-,828.13,-,376.76,-,"1,535.84",-,-,"1,535.84"
,,Patnitala,70.01,-,3152.96,-,305.23,-,"3,528.20",-,-,"3,528.20"
,,Sapahar,-,-,1434.82,-,-,-,"1,434.82",-,-,"1,434.82"
,Total,5,473.95,-,5991.70,-,681.99,-,"7,147.64",-,-,"7,147.64"
39,Natore,Lalpur,-,-,-,-,-,-,-,-,602.68,602.68
,Total,1,-,-,-,-,-,-,-,-,602.68,602.68
40,Rajshahi,Godabari,-,-,-,-,-,-,-,-,69.16,69.16
,,Paba,-,-,-,-,-,-,-,-,9.88,9.88
,Total,2,-,-,-,-,-,-,-,-,79.04,79.04
41,Bagura,Sariakandhi,-,-,-,-,-,-,-,-,518.70,518.70
,Total,1,-,-,-,-,-,-,-,-,518.70,518.70
Grand Total,,,"3,020,047.88","1,457,171.47",91381.89,20848.40,9491.97,42847.51,4642579.12,1716609.32,59510.84,6418699.28
