Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
4,Khulna,44,907350,853,261,402,188,18310,16999,16471,18571,17401,16659
41,Jamalpur,0,15954,0,0,0,0,334,330,341,334,330,341
42,Mymensing,0,214677,0,0,0,0,4518,4510,4973,4518,4510,4973
43,Netrakona,0,18450,0,0,0,0,691,685,550,691,685,550
44,Sherpur,0,29869,0,0,0,0,511,506,507,511,506,507
5,Mymensing,0,278949,0,0,0,0,6054,6031,6371,6054,6031,6371
45,Bogura,0,268228,258,0,0,0,8931,9445,8663,8931,9445,8663
46,Joypurhat,2,26809,3,119,124,125,496,413,563,615,537,688
47,Naogaon,0,483432,609,0,0,0,5293,5674,6705,5293,5674,6705
48,Natore,0,155468,0,0,0,0,8451,5254,7062,8451,5254,7062
49,Chapai Nawabganj,0,21757,88,0,0,0,853,779,864,853,779,864
50,Pabna,0,58352,68,0,0,86,2484,2579,2522,2484,2579,2608
51,Rajshahi,0,253795,502,0,0,0,5899,5484,5249,5899,5484,5249
52,Sirajganj,0,109922,0,0,0,0,2218,2209,2133,2218,2209,2133
6,Rajshahi,2,"137776
3",1528,119,124,211,34625,31837,33761,34744,31961,33972
53,Dinajpur,0,44163,83,0,0,0,567,629,521,567,629,521
54,Gaibandha,0,11937,17,0,0,0,276,190,291,276,190,291
55,Kurigram,0,4613,13,0,0,0,74,62,72,74,62,72
56,Lalmonirhat,0,4027,5,0,0,0,61,60,57,61,60,57
57,Nilphamari,0,3120,4,0,0,0,79,60,81,79,60,81
58,Panchagarh,0,4545,4,0,0,0,122,120,123,122,120,123
59,Rangpur,0,20442,25,0,0,0,428,436,456,428,436,456
60,Thakurgaon,0,6912,9,0,0,0,129,131,124,129,131,124
7,Rangpur,0,99759,160,0,0,0,1736,1688,1725,1736,1688,1725
61,Habiganj,0,17451,238,0,0,18,203,201,2065,203,201,2083
62,Maulvibazar,0,17909,66,0,0,0,436,432,439,436,432,439
63,Sunamganj,0,14448,54,0,0,0,683,680,685,683,680,685
64,Sylhet,0,5870,23,0,0,0,89,87,89,89,87,89
8,Sylhet,0,55677,381,0,0,18,1411,1400,3278,1411,1400,3296
,BANGLADESH,98,6326324,82998,1462,802,680,159642,159098,134151,161104,159900,134831
