Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
3,Dhaka,1384,1371,6248,12090,12681,17837,23708,24477,25304,35798,37158,43141
31,Bagerhat,14,12,54,118,116,0,1106,1219,1043,1224,1335,1043
32,Chuadanga,2128,132,141,1789,2818,2630,544,1078,1029,2333,3896,3659
33,Jashore,450,513,874,11317,13810,0,3839,4302,18546,15156,18112,18546
34,Jhenaidah,125,128,441,514,1378,2079,1223,3312,4532,1737,4690,6611
35,Khulna,70,65,62,414,360,431,2823,2542,3018,3237,2902,3449
36,Kushtia,86,84,204,2414,2271,2233,4658,5048,6448,7072,7319,8681
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,148,142,528,6855,6951,0,4915,4670,79260,11770,11621,79260
38,Meherpur,37,37,66,454,440,1193,649,657,423,1103,1097,1616
39,Narail,41,42,363,213,217,1610,2587,2608,2218,2800,2825,3828
40,Satkhira,76,58,310,1746,1203,880,2348,1570,1330,4094,2773,2210
4,Khulna,3175,1213,3043,25834,29564,11056,24692,27006,117847,50526,56570,128903
41,Jamalpur,34,45,44,747,891,2905,2861,3220,2040,3608,4111,4945
42,Mymensing,94,96,97,1196,1609,1887,10207,12653,15565,11403,14262,17452
43,Netrakona,3,2,2,56,58,61,2303,2344,2366,2359,2402,2427
44,Sherpur,5,5,5,180,187,1120,1359,1427,650,1539,1614,1770
5,Mymensing,136,148,148,2179,2745,5973,16730,19644,20621,18909,22389,26594
45,Bogura,522,463,414,2728,4291,4291,804,1421,1361,3532,5712,5652
46,Joypurhat,28,22,22,510,508,588,679,737,676,1189,1245,1264
47,Naogaon,94,93,145,314,315,442,1487,1510,1786,1801,1825,2228
48,Natore,60,221,64,3448,3933,2990,4697,4854,3818,8145,8787,6808
49,Chapai Nawabganj,75,81,222,963,99,1280,1540,2400,1577,2503,2499,2857
50,Pabna,79,82,83,1428,1490,1851,5528,5551,5468,6956,7041,7319
51,Rajshahi,660,959,1363,26642,40288,47916,5276,6668,10213,31918,46956,58129
52,Sirajganj,10,29,11,314,347,340,4519,4494,4751,4833,4841,5091
6,Rajshahi,1528,1950,2324,36347,51271,59698,24530,27635,29650,60877,78906,89348
53,Dinajpur,84,85,436,1225,1437,1185,2683,3123,2684,3908,4560,3869
54,Gaibandha,66,43,207,639,498,1430,1086,1231,1036,1725,1729,2466
55,Kurigram,20,20,195,122,152,190,2122,2611,2323,2244,2763,2513
56,Lalmonirhat,5,25,57,232,286,527,1332,1471,1300,1564,1757,1827
57,Nilphamari,6,6,59,82,100,102,1717,2105,2002,1799,2205,2104
58,Panchagarh,75,75,71,193,194,195,1637,1617,1569,1830,1811,1764
59,Rangpur,54,51,245,713,849,768,1976,2391,2508,2689,3240,3276
60,Thakurgaon,40,40,141,503,548,538,567,580,722,1070,1128,1260
7,Rangpur,350,345,1411,3709,4064,4935,13120,15129,14144,16829,19193,19079
61,Habiganj,4,4,9,30,32,32,465,494,494,495,526,526
62,Maulvibazar,0,0,134,0,0,0,1329,1277,1277,1329,1277,1277
63,Sunamganj,0,0,131,0,0,0,954,952,930,954,952,930
64,Sylhet,32,35,35,407,560,360,1006,1129,1190,1413,1689,1550
8,Sylhet,36,39,309,437,592,392,3754,3852,3891,4191,4444,4283
,BANGLADESH,7223,5722,21776,89153,108747,109550,133558,147928,243266,"22271
1",256675,352816
