"Division and
District/Zila","All
holdings","Non-Farm
holdings",,Number of farm holdings,,,Number of holdings,,,"Agriculture
labour
households"
TOTAL,3435470,1330540,2104930,1762229,313293,29408,2177272,941023,317175,1345987
RURAL,3129699,1070444,2059255,1722002,308571,28682,1993139,912804,223756,1325119
URBAN,305771,260096,45675,40227,4722,726,184133,28219,93419,20868
01 BAGERHAT,339217,106600,232617,188879,38317,5421,235792,72173,31252,144577
47 KHULNA,502835,295092,207743,167904,35146,4693,319009,86292,97534,144350
87 SATKHIRA,436178,184142,252036,212420,34106,5510,302240,103903,30035,227847
18 CHUADANGA,254916,81218,173698,146224,25686,1788,146363,91437,17116,102661
41 JASHORE,591030,216407,374623,321394,49788,3441,375892,158654,56484,240843
44 JHENAIDAH,385860,129266,256594,213087,40672,2835,243045,122147,20668,152857
50 KUSHTIA,432249,187033,245216,213753,29188,2275,265720,125990,40539,152738
55 MAGURA,189589,49390,140199,115636,23283,1280,111405,69876,8308,63254
57 MEHERPUR,152544,39872,112672,94918,16585,1169,85685,59340,7519,69138
65 NARAIL,151052,41520,109532,88014,20522,996,92121,51211,7720,47722
"RAJSHAHI
DIVISION",,,,,,,,,,
TOTAL,7663035,3263408,4399627,3579118,731852,88657,4881568,1951710,829757,3010577
RURAL,7195280,2861526,4333754,3522665,723868,87221,4539719,1922544,733017,2987306
URBAN,467755,401882,65873,56453,7984,1436,341849,29166,96740,23271
64 NAOGAON,611822,221301,390521,295534,81877,13110,364604,195075,52143,264031
69 NATORE,392969,153248,239721,192743,40741,6237,237053,102939,52977,181489
"70 CHAPAI
CHAPINAWABGONJ",320388,163487,156901,116936,35327,4638,220570,67171,32647,95942
81 RAJSHAHI,572365,250984,321381,271263,45513,4605,370734,137950,63681,208189
10 BOGURA,791343,338196,453147,388810,59025,5312,501755,222482,67106,251577
38 JOYPURHAT,229123,80519,148604,122571,23921,2112,136859,77355,14909,83863
76 PABNA,533209,250311,282898,231235,46498,5165,339986,129087,64136,185107
88 SIRAJGANJ,656830,314541,342289,291680,46203,4406,415289,144728,96813,231920
27 DINAJPUR,662677,270704,391973,292704,85334,13935,413189,190300,59188,281904
77 PANCHAGARHH,203831,64986,138845,103860,30813,4172,122280,58701,22850,71867
94 THAKURGAON,297962,99041,198921,145050,46113,7758,180916,87249,29797,121829
32 GAIBANDHA,581289,254519,326770,285172,38118,3480,387435,137339,56515,266281
49 KURIGRAM,469713,194037,275676,235940,36439,3297,302295,111404,56014,229042
52 LALMONIRHAT,274769,102621,172148,142474,27410,2264,169080,66046,39643,118592
73 NILPHAMARI,384629,180426,204203,166633,34256,3314,268970,71622,44037,153639
85 RANGPUR,680116,324487,355629,296513,54264,4852,450553,152262,77301,265305
"SYLHET
DIVISION",,,,,,,,,,
TOTAL,1526006,696980,829026,642789,160080,26157,1107666,257605,160735,455850
,,,Total,Small,Medium,Large,Owner,"Owner-
cum-
tenant",Tenant,
1,2,3,4,5,6,7,8,9,10,11
RURAL,1442654,620916,821738,636607,159225,25906,1048888,254648,139118,454414
URBAN,83352,76064,7288,6182,855,251,58778,2957,21617,1436
36 HABIGANJ,342178,145035,197143,152281,38341,6521,227724,71398,43056,135531
58 MAULVIBAZAR,309441,129744,179697,150565,26046,3086,233220,49211,27010,84895
90 SUNAMGANJ,387205,180485,206720,144599,51407,10714,281207,73254,32744,144194
91 SYLHET,487182,241716,245466,195344,44286,5836,365515,63742,57925,91230
