District/ Division,,2019-20,,,,,,,,,,,,,,,2020-21,,,,,,,,,,,,,,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
36,Kushtia,,28147,,,11390,,,41.02,,,3.784,,,43098,,27399,,,11088,,,41.81,,,3.857,,,42760,,
37,Magura,,10574,,,4279,,,30.19,,,2.785,,,11916,,10947,,,4430,,,30.33,,,2.798,,,12394,,
38,Meherpur,,28856,,,11677,,,39.33,,,3.628,,,42363,,31854,,,12891,,,46.05,,,4.248,,,54755,,
39,Narail,,3522,,,1425,,,31.96,,,2.948,,,4202,,3717,,,1504,,,31.69,,,2.923,,,4397,,
40,Satkhira,,1802,,,729,,,31.25,,,2.882,,,2102,,,1843,,746,,,31.48,,,2.904,,,2165,,
4,"Khulna
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,89633,,,36273,,,37.03,,,28.978,,,123905,,,93536,,,37852,,,40.38,,,3.724,,,140972,
41,Jamalpur,,9753,,,3947,,,31.86,,,2.939,,,11599,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10623,,,4299,,,30.69,,,2.831,,,12169,
42,Mymensingh,,3296,,,1334,,,27.03,,,2.493,,,3326,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3247,,,1314,,,30.05,,,2.772,,,3642,
43,Netrokona,,3162,,,1280,,,25.90,,,2.389,,,3057,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2005,,,811,,,23.26,,,2.145,,,1741,
44,Sherpur,,1652,,,669,,,30.58,,,2.821,,,1886,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2080,,,842,,,31.43,,,2.899,,,2440,
5,"Mymensingh
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17863,,,7229,,,29.80,,,2.748,,,19867,,,17955,,,7266,,,29.83,,,2.752,,,19993,
45,Bogura,6555,,,2653,,,31.17,,,2.875,,,7627,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6264,,,2535,,,31.75,,,2.929,,,7424,
46,Joypurhat,,5743,,,2324,,,30.29,,,2.794,,,6493,,5649,,,2286,,,29.39,,,2.711,,,6197,,
47,Naogaon,,53783,,,21765,,,35.63,,,3.286,,,71530,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,56124,,,22712,,,37.93,,,3.499,,,79462,
48,Natore,,54380,,,22006,,,31.77,,,2.930,,,64489,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,53757,,,21754,,,31.88,,,2.941,,,63971,
49,"Chapai
Nawabganj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,64099,,,25939,,,37.39,,,3.449,,,89461,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60134,,,24335,,,39.35,,,3.630,,,88327,
50,Pabna,,64118,,,25947,,,32.04,,,2.955,,,76683,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,64976,,,26294,,,32.79,,,3.025,,,79528,
51,Rajshahi,,65098,,,26344,,,33.33,,,3.074,,,80990,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,62433,,,25265,,,33.12,,,3.055,,,77184,
52,Sirajganj,,14114,,,5712,,,29.52,,,2.723,,,15552,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,13460,,,5447,,,30.79,,,2.840,,,15470,
6,"Rajshah
i Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,327890,,,132690,,,33.73,,,3.111,,,412825,,,322797,,,130629,,,34.65,,,3.197,,,417562,
53,Dinajpur,,16320,,,6604,,,30.91,,,2.851,,,18830,,10237,,,4143,,,34.27,,,3.161,,,13095,,
54,Gaibandha,7952,,,3218,,,27.59,,,2.545,,,8189,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7317,,,2961,,,32.01,,,2.953,,,8743,
55,Kurigram,20750,,,8397,,,32.93,,,3.037,,,25506,,,20932,,,8471,,,35.83,,,3.305,,,27995,,
56,Lalmonirhat,3457,,,1399,,,30.88,,,2.848,,,3985,,,3302,,,1336,,,32.58,,,3.005,,,4016,,
57,Nilphamari,12843,,,5197,,,33.39,,,3.080,,,16007,,,12475,,,5048,,,34.93,,,3.222,,,16265,,
58,Panchagarh,43785,,,17719,,,34.09,,,3.144,,,55716,,,44594,,,18046,,,35.74,,,3.297,,,59492,,
59,Rangpur,,4377,,,1771,,,35.64,,,3.287,,,5823,,,4235,,1714,,,44.99,,,4.150,,,7112,,
60,Thakurgaon,,123457,,,49960,,,38.12,,,3.516,,,175669,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,121790,,,49286,,,40.39,,,3.726,,,183617,
7,"Rangpur
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,232941,,,94266,,,35.62,,,3.286,,,309725,,,224882,,,91005,,,38.16,,,3.520,,,320335,
61,Habiganj,722,,,292,,,19.87,,,1.833,,,536,,,550,,,223,,,28.79,,,2.656,,,591,,
62,Moulvibazar,83,,,34,,,24.48,,,2.258,,,76,,,88,,,36,,,18.93,,,1.746,,,62,,
63,Sunamganj,854,,,346,,,29.55,,,2.726,,,942,,,1172,,,474,,,18.98,,,1.751,,,830,,
64,Sylhet,,490,,,198,,,19.65,,,1.813,,,359,,,590,,239,,,19.84,,,1.830,,,437,,
8,"Sylhet
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2149,,,870,,,23.84,,,2.199,,,1913,,,2400,,,971,,,21.44,,,1.977,,,1921,
Bangladesh,,,821081,,,332274,,,33.59,,,3.098,,,1029354,,,812805,,,328924,,,35.77,,,3.300,,,1085368,
