Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
31,",,",white,"2,603","2,569",2585,"2,562","2,560","2,568","2,564","2,544","2,567","2,606",2564,2610,2575
32,Ata,loose,"2,505","2,493",2472,"2,479","2,482","2,489","2,462","2,457","2,471","2,491",2569,2593,2497
33,",,",Packet,"3,010","3,013",3008,"3,022","3,032","3,036","3,032","3,019","3,012","3,009",2999,3012,3017
34,flour,loose,"3,253","3,211",3194,"3,190","3,188","3,146","3,116","3,116","3,127","3,148",3169,3177,3170
35,",,",packet,"4,092","4,094",4097,"4,071","4,059","4,108","4,068","4,059","4,046","4,063",4086,4035,4073
36,Maize,-,"1,989","2,053",2082,"2,102","2,029","1,845","1,867","1,893","1,882","1,875",1929,1953,9158
37,Kalai,mash,7020,6968,7119,7803,7823,8008,7870,8020,8105,8057,8573,8778,7845
38,",,",mashur,6572,7047,7077,6963,6836,7468,7132,6787,6475,6491,6437,6416,6811
39,",,",mug,8447,8621,8568,8674,7751,7519,7791,8075,8104,8604,8690,8759,8300
40,",,",Chola,6706,6798,6818,6788,6753,6607,6518,6380,6419,6561,6722,6740,6651
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
41,",,",Motor local,3436,3618,4316,4757,4755,4869,4614,4703,4739,4816,4970,5428,4585
42,",,",Motor foreign,3436,3618,4316,4757,4755,4869,4614,4703,4739,4816,4970,5428,4585
43,",,",kheshari,4492,4802,4793,5513,5334,4952,4351,4598,4639,5099,5062,4750,4865
44,Dal,Mash gota,9169,9199,9211,9368,10893,10968,10689,10378,10159,10223,10368,10257,10074
45,",,",Broken,9120,9353,9449,10152,10491,10446,10392,10404,10214,10615,12331,11135,10342
46,",,",Mashur local gota,9950,10187,10139,11283,11440,11148,10904,10661,10482,10836,11559,10284,10739
47,",,",Mashur broken,7044,7038,6663,7544,8146,7801,7617,7303,7478,7413,7461,7596,7425
48,",,",Mashur foreign,8670,9098,8283,9873,9271,8433,8517,8400,9178,9049,9289,9042,8925
49,",,",Mug local,12227,12552,12230,12980,13274,12211,11658,11607,11567,11814,12109,12169,12200
50,",,",Chola gota,7524,7819,7320,7389,7234,7013,7037,6958,7126,7385,7530,7482,7318
51,",,",Chola broken,7335,7646,7441,7709,7690,7447,7326,7167,7369,7494,7939,7429,7499
52,",,",Motor local,5449,5724,6716,8809,9821,9424,8294,7683,7982,7916,7598,7731,7762
53,",,",Motor foreign,3530,3675,3541,3882,3988,3725,3523,3324,3398,3865,3919,3736,3675
54,",,",kheshari,6301,6609,6669,7178,7371,7089,6823,6542,6312,6335,7222,6555,6750
55,Oil seed,Mustard,4973,4828,4674,4953,4991,4933,5234,5362,5435,5622,6246,5911,5264
56,",,",Tishi,6120,6050,5863,6125,6156,5738,5950,5952,6095,6190,6258,6506,6084
57,",,",Til,6080,6397,10669,10075,8919,6103,6390,6273,6374,6602,8538,6500,7185
58,",,",Nut,9453,9512,9482,9479,9610,9253,9196,9156,9220,9373,10558,9192,9457
59,Oil,Mustard,12853,12793,12868,12977,13029,12901,13273,13535,12978,13340,13547,13572,13139
60,",,",Soyabeen,8681,8586,8580,8644,8618,8415,8308,9034,8631,8852,9355,9945,8804
61,",,",Pulm,7398,7441,7239,7127,7105,6652,6630,6827,7363,7693,8291,8781,7379
62,“,Ghee (dalda),8298,8343,8263,8284,8314,8240,8162,8221,8201,8449,10291,9545,8551
63,",,",Butter oil,64000,61250,56500,60000,60000,61667,48000,65000,65000,65000,65000,65000,61368
64,",,",Coconut,22884,22681,22795,23122,23216,23178,23563,23526,23642,23888,23783,23921,23350
65,khail,Mustard,3341,3323,3311,3354,3363,3400,3419,3466,3480,3466,3507,3488,3410
66,",,",Til,3446,3463,3685,3746,3856,3738,3940,3713,3710,3715,3728,3743,3707
67,",,",Others,3503,3518,3538,3658,3758,3783,3650,3585,3573,3575,3560,3535,3603
68,Spice,Onion local,10642,10441,4261,4337,3801,3778,3500,3523,6357,7819,6444,4698,5800
69,",,",Onion imported,8593,7639,4893,4069,3433,2373,2182,2295,5019,6690,4814,3297,4609
70,",,",Garlic local,15391,14771,7019,9286,9223,8845,8260,8012,8607,9294,10020,8525,9771
71,",,",Garlic imported,13735,16931,14636,14793,12632,9919,8106,7737,7712,8309,9479,8434,11035
72,,Chilli dried,21923,23529,18326,20375,19829,18447,17971,17349,20553,21069,21230,21605,20184
73,",,",Green chilli,4041,4291,4221,2656,3017,4017,11809,15062,14636,16198,11157,8024,8261
74,",,",Ginger local,11853,11504,10902,19715,27566,21022,14508,15459,13830,11317,9516,7888,14590
75,",,",Ginger imported,11825,11286,90867,20971,15243,13609,13280,14369,15153,13818,10193,8206,19906
76,",,",Turmeric round,13333,13200,10500,10909,11000,11000,12419,12750,13839,13351,12874,13195,12364
77,",,",Turmeric long,12811,12771,11779,12170,12483,12576,12269,12048,12882,12765,12685,12711,12496
78,",,",Coriander old,9814,10105,8523,8585,8791,9348,9142,9076,10842,10426,10161,9272,9507
79,",,",Coriander new,10000,9667,9131,9315,9249,9216,9181,8988,9723,9100,9200,4823,9266
80,Jute,White/tosha top,"2,825","2,825","2,825","3,447","3,383","3,033","2,800","3,033","3,033","3,033",3033,3650,3077
81,",,",Middle,"4,438","4,438","4,438","4,789","4,496","4,325",-,"4,325","4,325","5,190",5031,5100,4627
82,",,",B-botom,-,-,-,-,-,-,-,-,-,-,,-,-
83,",,",C -bottom,-,-,-,-,-,-,-,-,-,-,,-,--
84,",,",Cross botom,-,-,-,-,-,-,-,-,-,-,,-,--
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
85,",,",Smr,-,-,-,-,-,-,-,-,-,-,,-,--
86,",,",Gor chhat,-,-,-,-,-,-,-,-,-,-,,-,--
87,",,",Mesta gor chhat,"4,163","4,000","4,000","4,088","4,800","4,800","4,300","4,800","4,800","5,515",5398,5845,4709
88,Cotton,Shimul,"33,842","33,486","33,486","30,489","32,472","32,219","35,964","31,706","30,661","30,847",30573,30498,32187
89,",,",carpus,"14,150","14,150","14,150","14,150","14,150","17,417","17,417","17,083","15,563","15,563",15563,15563,15410
90,Tobbaco,Jati heavy,"10,600","10,600","10,600","10,600","10,600","10,600","10,500","16,500","16,500","12,567",12567,12567,12067
91,",,",Jati Medium,"8,500","8,500","8,500","8,500","8,500","8,500","8,500","12,750","12,750","12,750",12750,12750,10271
92,",,",Jati general,"6,600","6,600","6,600","6,600","6,600","6,600","6,600","10,550","10,550","10,550",10550,10500,8242
93,",,",Motihar heavy,"14,410","14,497","14,497","14,499","13,293","14,728","12,888","13,125","13,125","12,369",13131,11971,13544
94,",,",Motihar medium,"10,756","10,803","10,803","10,800","10,789","10,825",-,"10,014","10,014","10,014",10014,8288,10284
95,",,",Moti general,"7,617","7,617","7,617","7,617","7,617","7,480",-,"6,475","6,475","6,475",6475,6475,7085
96,",,",Varginia(heat),-,-,-,-,-,-,-,-,-,-,-,-,-
97,",,",Bangla-1 (heat),-,-,-,-,-,-,-,-,-,-,-,-,-
98,",,","Bangle-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
99,",,","Bangle-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
100,",,","Bangle-4 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
101,",,","Bangla-5 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
102,",,","Bangle-6 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
103,",,","Bang;a-7 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
104,",,","Bang;a-8 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
105,",,",Varginia(air),-,-,-,-,-,-,-,-,-,-,-,-,-
106,",,",Dv- 1(air),-,-,-,-,-,-,-,-,-,-,-,-,-
107,",,","DV-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
108,",,","DV-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
109,"Hide skin:
COW",Light,"24,131","23,854","23,854","23,135","23,135","27,225",-,"27,225","27,225","25,979",26604,26251,
,,,,,,,,,,,,,,,25329
110,",,",Medium,"37,547","37,033","37,033","36,301","38,110","33,296",-,"33,296","33,296","33,441",33477,33730,35142
111,",,",heavy,"57,441","56,875","56,875","56,317","57,774","53,517",-,"53,517","53,517","53,700",53746,53997,55207
112,",,",katachera,"12,305","12,429","12,429","12,305","11,857","11,500",-,"11,500","11,500","11,500",11500,11514,11849
113,"Hide skin
Bufello",heavy,"50,800","51,750","51,750","43,393","43,750","46,292","54,600","46,292","54,600","46,025",45958,48692,
,,,,,,,,,,,,,,,48658
114,",,",medium,"39,125","39,563","39,563","39,125","40,714","39,813","39,813","39,813","39,813","40,563",40750,41813,40039
115,",,",katachera,-,-,-,-,-,-,-,-,-,-,,-,-
116,Hide skin,Sheep,"3,639","3,423","3,423","3,562","4,518","2,979",-,"2,979","2,979","2,979",2979,2836,3300
117,",,",Goat,"6,310","6,331",-,"4,544","5,307","3,774",-,"3,774","3,774","3,762",3620,3580,4478
118,"Chemical
fertilizer",Uria 50 kg,787,787,787,787,786,786,786,786,786,786,787,788,
,,,,,,,,,,,,,,,787
119,",,","TSP ,,","1,092","1,093","1,093","1,092","1,088","1,090","1,090","1,090","1,090","1,091",1091,1093,1091
120,",,","DAP ,,",788,789,789,788,785,782,-,782,782,782,782,786,785
121,",,","MP ,,",733,732,732,732,733,733,733,733,733,733,733,736,733
122,",,",Zinc LOCAL,"3,120","3,378","3,378","3,296","3,338","3,250","3,250","3,250","3,250","3,250",3250,2440,3204
123,",,",Zinc foreign,"3,937","3,963","3,963","5,459","3,570","5,265","3,736","5,265","5,265","5,265",5265,5225,4682
124,",,",Zipsum,169,174,174,185,183,221,-,245,238,239,238,258,211
125,Organic,Cowdung,117,117,117,117,117,117,117,117,117,117,117,116,117
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,fertilizer,,,,,,,,,,,,,,
126,Powder milk,Bag,"55,000","55,000","55,000","55,000",-,594,-,594,594,594,594,594,22356
127,Cow Milk,liquid,"5,207","5,148",-,"5,118","5,070","5,228",-,"5,228","5,228","5,228",5228,5228,5191
128,",,",milkvita,-,-,-,-,-,-,-,-,-,-,,-,-
129,Gawa ghee,-,"80,720","80,550","80,550","80,720","80,500","82,900","82,900","82,900","82,900","82,900",82900,82900,81945
130,Dano,--,"6,619","6,569","6,569","6,569","6,569","6,325",-,"6,325","6,325","6,325",6325,6325,6440
131,Red cow,-,"6,390","6,175","6,175","6,350","6,875","5,825","5,825","5,825","5,825","5,825",5825,5825,6062
132,Anchor,-,"6,090","6,000","6,000","6,000","6,000","5,400",-,"5,400","5,400","5,400",5400,5400,5684
133,"Condensed
milk",One kartoon,"2,183","2,184","2,184","2,183","2,182","2,180",-,"2,180","2,180","2,180",2180,2180,
,,,,,,,,,,,,,,,2182
134,"Hen/chicken-
Live",Local large(900gm+),"33,661","33,982","34,454","35,605","36,189","37,182","37,892","36,939","35,250","34,439",34014,33866,
,,,,,,,,,,,,,,,35289
135,",,",",, medium(700gm+)","32,891","33,568","34,237","35,648","36,240","36,924","36,874","36,436","35,740","34,991",34596,34395,35211
136,",,",",, small(500gm+)","33,522","33,478","34,688","34,888","35,292","36,046","35,477","36,487","35,500","34,500",34719,34446,34920
137,",,",Farm broiler,"10,450","10,475","10,594","10,635","12,096","12,910","13,043","10,922","10,614","11,053",11091,10672,11213
138,",,",Duck,"24,143","23,984","24,714","25,400","24,381","23,799","25,984","24,054","23,818","29,469",28594,27212,25463
139,Meat,Cow,"49,541","49,813","50,120","51,330","50,514","51,509","50,641","50,097","50,035","49,992",49992,49878,50288
140,",,",Goat,"67,740","67,472","68,311","70,280","68,947","69,758","71,767","68,991","69,908","70,047",70052,70279,69463
141,Egg,Chicken local,"1,061","1,060","1,075","1,069","1,083","1,067","1,075","1,077","1,072","1,088",1083,1089,1075
142,",,",Farm red,728,716,719,687,678,729,766,833,812,830,786,697,
,,,,,,,,,,,,,,,748
143,",,",Farm white,-,-,-,-,620,-,-,808,778,-,747,717,734
144,",,",duck,"1,037","1,038","1,035","1,059","1,083",985,"1,000","1,007","1,012","1,046",1061,1051,1035
145,Fish (Ka):Fresh,Rui local big(5+kg),"36,625","33,900","33,700","37,667","31,250","32,833","32,833","36,313","33,167","33,250",33500,32893,33994
146,",,","Rui local
(2.5+kg)medium","29,724","29,368","29,017","28,944","28,547","29,056","28,682","28,500","27,924","28,124",27874,28206,
,,,,,,,,,,,,,,,28664
147,",,","Rui local small
(1.5+kg)","25,508","25,307","25,209","24,808","24,539","24,880","24,967","24,741","24,689","24,698",24371,24067,
,,,,,,,,,,,,,,,224815
148,",,","Imported
medium(2.5+kg)","23,888","23,701","23,409","24,068","23,608","24,133","23,471","23,285","23,038","23,447",23441,23170,
,,,,,,,,,,,,,,,23555
149,",,",Imported small,"21,823","21,151","20,145","20,601","19,651","21,493","21,483","19,775","20,475","20,241",20148,19344,20527
150,",,",Katal large,"35,120","35,104","32,688","32,583","35,438","34,958","35,033","34,667","32,155","30,875",30875,30917,33368
151,",,",medium,"28,512","28,285","28,330","28,681","28,438","28,567","28,710","28,505","27,779","27,672",27694,27517,28224
152,",,",small,"23,123","22,814","22,672","22,372","22,030","22,361","22,389","21,968","22,291","22,163",22074,21961,22351
153,Fish (Ka):Live,Mrigel large,"20,393","20,342","20,511","20,497","20,506","20,585","20,194","19,974","20,201","19,853",19911,19296,20189
154,",,",small,"15,621","14,880","14,864","14,885","14,839","14,939","15,159","14,922","15,113","14,971",14847,14577,14968
155,",,",Airr large,"58,313","53,889","39,000","48,167","29,750","48,167","48,167","48,167","48,167","52,000",53000,54083,48406
156,",,",small,"47,329",-,"53,323","43,033","39,344","49,350","49,642","40,000","42,000","36,833",42100,36717,43606
157,",,",Boal large,"65,400","65,350","68,100","63,250","56,000","66,600","65,850","63,250","59,850","60,917",60361,63625,63213
158,",,",Small,"40,478","39,238","38,961","37,813","34,964","38,875","39,177","37,593","38,500","38,750",38662,37994,38417
159,",,",Chital large,"85,000","85,000","85,000","85,000",-,"85,000","85,000","85,000","85,000","85,000",85000,76000,84182
160,",,",Chital small,"31,750","24,667","25,500","31,750","18,500","31,750","25,500","27,250","20,167","15,318",19781,17320,28104
161,",,",Pangush larges,"11,743","11,834","11,967","12,007","12,012","12,034","11,988","11,880","11,703","11,643",11589,11346,11812
162,",,",small,"10,073","10,087","10,085","10,413","10,018","10,142","10,103","9,977","10,046","9,748",9646,9559,9991
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
163,",,",Hilsha,"62,342","58,932","58,757","58,027","60,583","63,029","64,609","62,770","60,351","59,655",57328,58566,60413
164,",,",Prawn bagda,"61,325","61,313","63,583","65,044","66,234","61,250","62,047","59,057","61,375","64,150",61361,64778,62626
165,",,",golda,-,"58,125","58,981","57,263","64,607","54,850","56,033","55,142","55,963","61,591",61080,60339,58543
166,",,",small,"36,777","38,143","39,633","40,636","40,756","40,532","40,356","41,244","39,958","40,789",40775,39968,39964
167,",,",Koii,"16,436","17,014","16,990","15,888","17,675","17,396","15,261","16,760","15,015","14,529",14487,14359,15984
168,",,",Magur,"60,950","60,197","60,222","59,792","60,942","60,330","60,364","61,864","61,076","61,250",60140,57604,60394
169,",,",Shing,"43,427","45,194","45,230","46,529","45,165","44,353","43,599","45,294","44,745","44,313",41934,39560,44112
170,",,",Silvar curp,"13,086","13,001","12,989","12,928","13,052","13,084","13,060","12,979","12,756","12,878",12682,12540,12920
171,",,",Grass curp,"15,762","16,133","15,840","15,783","15,878","15,918","15,879","15,981","15,817","15,836",15725,15732,15857
172,",,",Telapia,"12,270","12,255","12,255","12,369","12,150","12,557","12,157","12,102","12,167","12,065",11960,11641,12162
173,",,",Rupchada,"80,000","80,000","80,000","80,000","80,000","80,000","80,000","72,500","80,000","64,500",67375,66300,75890
174,Fish(Kha)Dry,Rupchada,"185,000","165,000","135,000","165,000","112,750","135,000","135,000","131,667","135,000","128,750",128750,135000,140993
175,",,",Loitta,"47,736","47,320","46,975","49,073","50,184","47,494","47,269","47,890","48,043","47,769",47744,46713,47851
176,",,",Puti,"37,240","36,675","36,925","38,300","34,719","37,300","37,800","36,000","36,031","35,125",35188,33120,36202
177,",,",Prawn,"70,063","71,906","71,359","67,056","64,560","70,135","66,617","64,516","67,797","63,188",69828,64861,67657
178,“,Kachki,"44,142","44,042","43,464","43,607","40,800","44,083","42,764","44,486","43,604","42,125",41708,43400,43185
179,,Salted Hilsha,"74,000","73,750","75,000","75,000","58,750","58,750","46,389","54,542","54,813","52,375",53000,80000,63031
180,Betel nut,-,"30,616","30,762","30,718","30,449","30,308","30,161","29,937","29,504","29,690","30,552",31192,30943,30403
181,"Betel leaves
bangla",Large,"9,363","10,180","11,196","10,675","9,694","9,492","8,321","7,618","7,257","7,339",7665,8486,
,,,,,,,,,,,,,,,8941
182,",,",Medium,"6,719","7,239","7,326","7,269","6,649","6,510","5,501","5,163","5,195","4,858",5043,5762,6103
183,",,",Small,"3,628","4,011","3,945","3,958","3,458","3,365","2,886","2,732","2,670","2,723",2733,3634,3312
184,",,",Sanchi,"2,522","2,567","2,400","1,696","1,929","1,971","2,334","1,589","2,006","1,550",1650,2418,2053
185,Fruits:,Mango Guti,-,-,-,-,"4,822","5,370","3,563",-,-,-,-,-,4585
186,,Gopalbhog,-,-,-,-,"5,749","4,390","5,778","6,708",-,-,-,-,5656
187,,Himsagor,-,-,-,-,"5,986","5,203","6,328","7,306",-,-,-,-,6206
188,,Langra,-,-,-,-,"6,313","5,468","6,365",-,"2,500",-,-,-,5162
189,,Fazli,-,-,-,-,"6,250","5,312","6,052","7,577","6,375",-,-,-,6313
190,,Aswini,-,-,-,-,-,"3,600","4,463","5,896","8,205",-,-,-,5541
191,Jackfruits,Large(4+kg),-,-,-,-,"9,575","10,318","9,026","9,571","18,000",-,-,-,11298
192,,Small,-,-,-,-,"5,870","5,282","4,427","3,938","9,000",-,-,-,5703
193,Fruits,Green Coconut,"3,193","3,238","3,236","3,556","3,503","3,511","3,500","3,641","3,762","3,697",3593,3440,3489
194,,Batabi lebu,"2,110","2,053","1,878","1,462","1,867","1,878","2,139","2,381","2,042","2,248",2237,1542,1989
195,,Elachi lebu,337,356,411,520,386,370,304,288,290,334,375,339,359
196,,Kagozi lebu,319,334,378,452,364,354,310,314,351,359,357,350,354
197,",,",Guava,"5,199","5,583","5,586","5,353","5,614","5,773","5,234","3,821","3,310","3,599",4091,4071,4853
198,",,",Amra,"1,900",-,-,-,-,-,"2,888","2,700","2,411","2,955",2899,2349,2586
199,",,",Orange,"1,324","1,309","1,342","1,369","1,416","1,467","1,610","1,494","1,475","1,422",1906,1723,1488
200,",,",Apple,"12,024","12,047","12,228","12,539","13,598","13,419","12,942","13,684","13,481","13,360",12470,12703,12875
201,",,",Boroi,"6,012","5,316","5,256","5,388","5,440","5,642",-,"4,900","5,850",-,,-,5475
202,",,",Water melon,-,-,"16,139","10,713","11,063","11,289","10,575",-,"6,500","6,500",,-,10397
203,Fruit:,Melon (Bangi),-,-,"5,547","4,583","4,008","2,533","1,000",-,-,-,,-,3534
204,",,",Ripe Papaya,"5,661","5,803","5,685","6,579","6,566","6,620","6,289","6,314","6,411","6,989",6784,6888,6382
205,",,",Lychee,-,-,-,-,"2,680","4,334","2,890",-,-,-,,-,3301
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
206,",,",Banana: Chapa,230,235,238,232,231,231,233,235,245,244,244,240,237
207,",,",Sabri,400,395,395,397,433,428,418,378,424,414,409,419,409
208,",,",Banana: Sagar,359,325,330,353,339,332,331,326,324,325,323,319,332
209,",,",Paineapple:Calender,"3,375","3,542","3,375","3,033","3,350","3,005","3,386","3,576","4,015","3,564",4008,3821,3504
210,",,",Jaldub,-,"3,550","3,325","2,460","3,845","2,763","2,500","2,761","3,606","2,275",2228,2750,2915
211,",,",Coconut,"3,262","3,217","3,220","3,216","3,316","3,312","3,380","3,276","3,464","3,511",3506,3754,3374
212,,Dates,"17,155","17,018","18,746","18,368","17,543","18,317","20,352","21,198","21,111","20,794",21275,21562,19453
213,",,",Tamarind with seed,"9,757","9,094","11,366","11,206","9,438","9,461","9,865","9,786","9,500","8,713",8438,11656,9857
214,",,",without seed,"11,875","11,875","11,875","15,938","6,695","5,755","10,000","10,125","10,750","11,563",11625,11485,10797
215,Vegetable:,Potato: Local,"2,508","1,990","1,951","2,059","2,128","2,459","3,619","2,459","3,310","3,700",3919,4062,2847
216,",,",Holland White,"2,030","1,540","1,491","1,737","1,741","2,110","2,447","2,094","2,913","3,483",3666,3703,2413
217,",,",Red,"2,201","1,586","1,529","1,765","1,790","2,238","2,394","2,238","2,956","3,539",3693,3789,2476
218,Sweet Potato,,"2,646","2,060","1,940","1,989","2,050","1,965","2,355","2,018","2,630","2,686",-,3975,2392
219,Vegetable:,Brinjal,"2,687","4,145","2,500","2,502","2,743","3,196","3,089","3,186","4,530","5,290",4294,2547,3392
220,",,",Patal,"3,243","3,631","4,231","4,187","4,113","3,155","2,865","3,155","3,958","4,531",4101,2978,3679
221,",,",Chalcumra,"2,155","2,582","2,182","2,157","2,139","1,866","1,908","1,866","2,075","2,243",2332,2127,2136
222,",,",Pumpkin,"2,302","2,199","1,977","2,023","1,974","1,796","1,775","1,796","2,167","2,491",2716,2262,2123
223,",,",Lao,"1,916","1,973","1,715","1,792","1,722","1,866","1,943","1,866","2,352","2,496",2419,1870,1994
224,",,",Uchehhe,"5,710","8,442","6,487","6,286","6,468","5,599","4,625","5,458","5,424","5,624",4967,3840,5744
225,",,",Karalla,"4,528","5,710","5,012","5,005","5,021","4,203","4,032","4,203","4,747","5,342",4869,3698,4698
226,Vegetable:,Green Papaya,"1,763","1,860","1,883","1,874","1,903","2,522","2,596","2,522","2,173","2,332",2418,1989,2153
227,",,",Mukhi kachu,"3,760","4,050",-,"3,675","3,900","4,202","3,640","4,185","3,066","3,056",3315,3161,3637
228,",,",Pani kachu,"2,583","3,133",-,"3,100","3,092","2,644","2,350","2,801","2,713","2,619",2999,3137,2834
229,",,",Kachur lati,"3,427","3,750","4,031","3,953","3,988","3,014","2,940","3,023","2,871","3,126",3544,3185,3404
230,",,",Kakrol,"3,733","3,250",-,"3,075","3,350","4,072","3,235","3,858","3,826","4,118",4622,3705,3713
231,",,",Lady's Finger,"3,449","3,970","4,548","4,511","4,565","2,572","2,540","2,543","3,579","4,178",4240,3440,3678
232,",,",Sosha,"3,062","2,486","2,046","2,183","2,070","2,375","2,869","2,378","3,251","4,170",3486,2841,2768
233,",,",Khirai,"2,541","2,087","1,722","1,797","1,722","2,084","2,306","2,084","2,260","2,422",3220,2811,2255
234,",,",Beans,"3,135","2,842","2,587","2,605","2,587","2,867","2,724","2,867","3,184","4,582",-,3100,3007
235,",,",Barbati,"3,600","3,841","4,029","3,836","4,051","3,675","3,611","3,631","3,771","4,070",4567,3508,3849
236,",,",Tomato Ripe,"3,649","2,562","2,029","2,125","2,039","3,219","4,954","3,219","3,219","3,710",5565,5603,3491
237,",,",Motorshooti,"6,347","4,944","4,162","4,349","4,190","4,956","5,262","4,956","5,036","5,067",5040,7622,5161
238,",,",Jinga,"3,058","3,496","4,073","4,393","3,719","3,149","3,081","3,154","3,300","3,343",3522,3265,3463
239,",,",Chichinga,"3,340","3,531","3,459","3,430","3,433","2,703","2,759","2,703","2,889","2,930",3019,3072,3106
240,",,",Dundol,"2,556","2,360","2,700","2,995","2,995","2,636","2,272","2,643","2,649","2,708",2834,2568,2660
241,",,",Radish Spinach,"1,237","1,273","1,250","1,315","1,171","1,267","1,458","1,267","1,551","1,551",1686,1419,1370
242,",,",Red Spinach,"1,769","1,742","1,740","1,730","1,744","1,815","1,979","1,815","1,831","1,841",2091,1851,1829
243,",,",Palongsak,"1,596","1,499","1,521","1,510","1,519","1,559","1,603","1,559","1,483","1,500",2079,1750,1598
244,",,",Indian Spinach,"1,441","1,507","1,481","1,479","1,458","1,340","1,434","1,343","1,474","1,473",1526,1581,1461
245,",,",Danta,"1,669","1,678","1,666","1,637","1,640","1,402","1,680","1,402","1,412","1,412",1474,1599,1556
246,",,",Cauliflower,"2,520","2,136","2,073","2,058","2,073","2,131","1,949","2,131","2,087","2,087",3705,2200,2262
