,,,,,,,(Area in acres),
75 NOAKHALI,419446,490825,45947,384371,352147,126212,578681,164
DHAKA DIVISION,,,,,,,,
TOTAL,6247996,6142022,733738,4818856,4564896,3344185,7513644,165
RURAL,5744398,5900139,642565,4725314,4487704,3303123,7395108,165
URBAN,503598,241883,91173,93542,77191,41063,118536,154
26 DHAKA,645265,406811,122189,212113,191016,103970,263891,138
33 GAZIPUR,303975,308518,39038,231963,177862,119337,231140,130
56 MANIKGANJ,244913,252637,32167,196739,186696,100148,318611,171
59 MUNSHIGANJ,142433,157807,22143,122659,120262,70487,175579,146
67 NARAYANGANJ,131605,125911,27132,87528,82278,57251,112991,137
"Division and
District/Zila","Owned
area","Operated
area","Homestead
area","Net
cultivated
area","Temporary
crops net
area","Irrigated
area","Temporary
crops gross
area","Intensity
of
cropping
(%)"
1,2,3,4,5,6,7,8,9
68 NARSINGDI,230597,224519,31783,175545,160566,123975,249059,155
29 FARIDPUR,342912,343965,33489,268707,248692,143193,429439,173
35 GOPALGANJ,261766,267167,21932,223242,216590,143912,274807,127
54 MADARIPUR,207711,200728,24859,156300,149503,70990,231713,155
61 MYMENSINGHH,940780,967368,103937,761506,732262,603496,1337569,183
82 RAJBARI,193792,199209,20658,159688,149109,87552,279537,187
86 SHARIATPUR,190881,196013,21136,145845,133866,47169,206988,155
39 JAMALPUR,457875,476711,47762,398375,391038,329777,742969,190
48 KISHOREGANJ,476954,498820,41247,429711,423437,363353,577002,136
72 NETRAKONA,528697,541709,39451,461442,454892,382610,686764,151
89 SHERPUR,291621,302499,28926,254428,248681,222287,483665,194
93 TANGAIL,656219,671629,75889,533066,498146,374680,911920,183
KHULNA DIVISION,,,,,,,,
TOTAL,3105337,3264398,234737,2639694,2373388,1698934,3979787,168
RURAL,2972701,3192244,220328,2594658,2337078,1674079,3922418,168
URBAN,132636,72153,14409,45036,36311,24856,57370,158
01 BAGERHAT,346181,381669,21673,307843,249897,67687,301297,121
47 KHULNA,379965,369945,30070,282783,261272,95956,331651,127
87 SATKHIRA,401627,424525,25861,280730,257346,173438,387678,151
18 CHUADANGA,241038,263351,18629,226032,208641,193820,346120,166
41 JASHORE,497237,522095,40442,431466,370263,340379,674505,182
44 JHENAIDAH,388852,403986,29866,342988,316120,260425,592440,187
50 KUSHTIA,312865,335697,31021,276024,259317,207521,519893,200
55 MAGURA,208744,214165,13252,188747,170205,143688,356414,209
57 MEHERPUR,154184,171944,11771,150741,143131,135953,235451,165
65 NARAIL,174644,177020,12152,152340,137197,80068,234337,171
RAJSHAHI DIVISION,,,,,,,,
TOTAL,7002047,7422304,578319,6282051,6093420,4869598,11684494,192
RURAL,6744398,7304319,554638,6202212,6021126,4817244,11555453,192
URBAN,257649,117985,23681,79839,72294,52354,129041,178
64 NAOGAON,704633,784665,43233,691137,677993,546895,1216204,179
69 NATORE,386570,420884,30696,364062,350093,255508,560488,160
"70 CHAPAI
CHAPINAWABGONJ",311275,324673,21704,275201,247862,144732,412074,166
81 RAJSHAHI,452068,477074,34062,404413,371937,300711,709315,191
10 BOGURA,625464,670442,60029,557759,551807,496128,1198056,217
38 JOYPURHAT,221127,238342,16392,205681,202969,191685,465304,229
76 PABNA,454253,482289,46779,403546,387463,246758,672246,174
88 SIRAJGANJ,486985,521327,52150,426108,415569,340311,749122,180
27 DINAJPUR,749513,805444,49956,705603,694371,614453,1369923,197
77 PANCHAGARHH,275052,281391,18135,244898,237345,118611,445759,188
94 THAKURGAON,409014,424922,24784,377939,370943,340304,742868,200
32 GAIBANDHA,434504,449549,42074,365610,358717,303985,676641,189
"Division and
District/Zila","Owned
area","Operated
area","Homestead
area","Net
cultivated
area","Temporary
crops net
area","Irrigated
area","Temporary
crops gross
area","Intensity
of
cropping
(%)"
1,2,3,4,5,6,7,8,9
49 KURIGRAM,386631,397061,38981,309241,293860,209725,578458,197
52 LALMONIRHAT,248855,262888,19693,217539,210355,164490,404816,192
73 NILPHAMARI,334061,336812,27422,278857,274937,202558,556419,202
85 RANGPUR,522041,544542,52231,454457,447201,392744,926804,207
SYLHET DIVISION,,,,,,,,
TOTAL,1592102,1622769,127468,1373842,1280436,701320,1613190,126
RURAL,1544171,1603636,121735,1364307,1272075,697968,1604088,126
URBAN,47931,19133,5734,9535,8361,3353,9102,109
36 HABIGANJ,372219,398283,26630,352106,342926,254971,485677,142
58 MAULVIBAZAR,271268,277328,26597,227900,196914,65846,267045,136
90 SUNAMGANJ,500209,513550,33206,451402,435266,279344,470999,108
91 SYLHET,448406,433609,41036,342434,305330,101159,389468,128
