,Noakhali,,,352,74.89,26362,,16153,9.09,4488,,0,,0,30850
,Rangamati,,,0,0.00,0,,0,0.00,0,,0,,0,0
Ctg. Div.,,,,2157,70.71,152515,,26672,42.78,7648,,8050,,4058,164221
,Habiganj,,,180,102.76,18497,,5002,6.96,3289,,36462,,14239,36025
,Moulvi Bazar,,,154,75.32,11599,,4855,0.85,2362,,24807,,6935,20896
,Sunamganj,,,242,129.89,31433,,10539,14.21,4316,,56125,,25155,60904
,Sylhet,,,168,155.32,26094,,4624,6.96,731,,27964,,11066,37891
Sylhet Div.,,,,744,117.77,87623,,25020,28.98,10698,,145358,,57395,155716
Total,,,,11778,52.86,622581,,166620,304.81,48667,,228823,,97119,768367
,,Source,,,Area (Ha),,Production (MT),,%,,MT/Ha,,Growth Rate (%),,
,,Subsistence Fisheries,,,2317175,,622581,,81.03,,0.269,,0.01,,
,,Fry Released Program,,,166620,,48667,,6.33,,0.292,,3.16,,
,,Haor,,,228823,,97119,,12.64,,0.424,,1.08,,
,,Total,,,2712618,,768367,,100.00,,0.283,,0.34,,
