District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M.Tons),None_7,None_8
45,Bogura,257.00,260.00,263.00,919.11,936.51,954.87,1210.79,1240.49,1347.13,2129.90,2177.00,2302.00
46,Joypurhat,34.00,35.00,36.00,96.60,103.51,101.60,235.40,247.49,246.40,332.00,351.00,348.00
47,Naogaon,90.00,98.00,107.00,395.92,405.34,382.66,990.08,939.66,991.34,1386.00,1345.00,1374.00
48,Natore,1763.53,2314.00,2306.00,6177.99,6078.60,6243.07,1919.01,1854.40,1965.93,8097.00,7933.00,8209.00
49,Chapai Nawabganj,230.00,231.00,203.00,290.56,325.83,301.28,561.44,628.17,578.72,852.00,954.00,880.00
50,Pabna,791.00,842.00,844.00,3591.19,3853.05,3931.92,4366.81,4607.95,4958.08,7958.00,8461.00,8890.00
51,Rajshahi,700.00,705.00,710.00,2060.83,2043.30,1991.79,1819.17,1800.70,1698.21,3880.00,3844.00,3690.00
52,Sirajganj,33.00,35.00,37.00,37.89,39.71,40.39,389.11,407.29,417.61,427.00,447.00,458.00
Rajshahi Division,None,3898.53,4520.00,4506.00,13570.09,13785.85,13947.58,11491.81,11726.15,12203.42,25061.90,25512.00,26151.00
53,Dinajpur,1983.00,2163.00,2172.38,7001.57,6360.91,5321.62,4141.43,3798.09,3198.87,11143.00,"10159.0
0",8520.49
54,Gaibandha,64.44,68.34,68.55,25.74,25.81,25.78,368.25,372.18,372.25,393.99,397.60,398.03
55,Kurigram,123.96,125.20,129.00,81.93,84.56,90.42,646.17,655.04,716.58,728.10,739.60,807.00
56,Lalmonirhat,181.97,185.42,191.11,337.75,341.67,374.47,407.06,419.09,462.82,744.81,760.76,837.29
57,Nilphamari,404.41,391.72,398.96,417.56,429.48,435.40,1047.26,1090.37,1109.19,1464.82,1519.85,1544.59
58,Panchagar,729.11,732.00,730.73,979.56,1146.41,1176.55,1839.68,2299.52,2318.99,2819.24,3445.93,3495.54
59,Rangpur,119.33,124.01,125.12,588.08,630.68,565.44,1576.18,1627.76,1465.01,2164.26,2258.44,2030.45
60,Thakurgaon,206.74,232.36,232.47,1052.14,1141.32,1141.77,1225.96,1401.24,1400.80,2278.10,2542.56,2542.57
Rangpur Divison,None,3812.96,4022.65,4048.32,10484.33,10160.84,9131.45,11251.99,11663.28,11044.51,21736.32,21824.12,20175.96
61,Habiganj,165.63,194.08,198.04,64.87,66.27,69.46,325.90,331.27,343.58,390.77,397.54,413.04
62,Moulvibazar,118.67,111.45,106.57,49.47,50.40,49.86,847.39,866.96,863.00,896.86,917.36,912.86
63,Sunamganj,832.00,835.00,835.00,0.00,0.00,0.00,392.00,393.00,393.00,392.00,393.00,393.00
64,Sylhet,373.00,156.00,77.00,20.00,70.40,0.00,187.00,200.60,250.00,207.00,271.00,250.00
Sylhet Division,None,1489.30,1296.53,1216.61,134.34,187.07,119.32,1752.29,1791.83,1849.58,1886.63,1978.90,1968.90
BANGLADESH,None,20388.53,21759.23,22442.29,35981.96,42915.76,38718.32,5697.45,61792.58,59903.80,92958.41,104708.34,98622.12
None,None,2021-22,None,2022-23,2021-22,2023-24,2022-23,2021-22,2023-24,2022-23,,2023-24,2022-23
1,None,2350,Barguna,2192.27,235,2210.00,235.79,730,189.86,741.21,,908.14,977.00
2,None,3520,Barishal,3658.00,2204,3531.00,2190.18,8043,630.41,8056.82,,7330.59,10247.00
3,None,116,Bhola,152.34,8,162.00,0.00,1163,14.12,1452.60,,1102.88,1452.60
4,None,2987,Jhallokati,3029.00,3527,3036.00,3517.26,1718,3529.80,1795.74,,1888.20,5313.00
5,None,288,Patuakhali,299.00,0,314.00,0.00,1262,0.00,1398.00,,1690.00,1398.00
6,None,2093,Pirojpur,2725.20,27153,2723.00,27051.27,3640,27144.49,3624.73,,3321.52,30676.00
Barishal Division,None,11354,None,12055.81,33127,11976.00,32994.50,16556,31508.68,17069.10,,16241.33,50063.60
7,None,846,Bandarban,846.30,374,846.60,371.04,277,371.09,279.89,,279.83,650.93
8,None,657,Brahmanbaria,644.15,1352,623.61,1354.47,2093,1310.01,2103.59,,2029.69,3458.06
9,None,169,Chandpur,177.19,0,177.96,0.00,1626,0.00,1627.30,,1955.24,1627.30
10,None,5306,Chattogram,4999.09,35360,4683.78,36019.81,6622,33696.18,7122.30,,5572.06,43142.11
11,None,1539,Cumilla,1539.49,510,1812.00,516.75,5518,558.66,5512.25,,5702.09,6029.00
12,None,285,Cox’s Bazar,285.56,421,272.44,422.55,1308,438.87,1324.39,,1363.80,1746.94
13,None,190,Feni,190.32,96,191.81,95.41,589,94.00,590.08,,599.00,685.49
14,None,633,Khagrachari,639.85,367,639.85,333.19,1121,348.89,1149.31,,1160.92,1482.50
15,None,71,Lakshmipur,213.84,0,201.33,0.00,1005,0.00,1261.27,,1257.75,1261.27
16,None,363,Noakhali,364.94,0,367.20,0.00,1970,0.00,2217.73,,2231.70,2217.73
17,None,1053,Rangamati,1187.31,3397,1228.73,3110.96,2932,3049.25,2677.78,,2590.44,5788.74
Chattogram Division,None,11112,None,11088.04,41877,11045.31,42224.18,25061,39866.95,25865.89,,24742.52,68090.07
18,None,271,Dhaka,270.89,2177,269.95,2262.47,1696,2114.41,1999.22,,1861.53,4261.69
19,None,300,Faridpur,230.00,247,232.00,278.95,1169,360.29,1128.25,,1132.41,1407.20
20,None,3108,Gazipur,2770.46,3098,2763.00,2882.83,1829,2784.63,1851.17,,1957.37,4734.00
21,None,279,Gopalganj,301.00,0,302.25,0.00,1781,35.69,1945.75,,2106.00,1945.75
22,None,224,Kishoreganj,216.86,276,214.76,259.57,2621,269.18,2520.24,,2604.92,2779.81
23,None,162,Madaripur,158.04,166,166.39,149.80,575,152.65,527.28,,549.84,677.08
24,None,196,Manikganj,203.31,300,203.93,342.61,1051,350.74,1130.79,,1128.56,1473.40
25,None,86,Munshiganj,87.24,26,84.64,30.43,568,30.71,588.63,,588.55,619.06
26,None,46,Narayanganj,57.62,361,57.78,357.28,600,361.74,601.65,,608.52,958.93
27,None,302,Narsingdi,303.27,1345,303.81,1524.01,2987,1489.85,3384.77,,3401.15,4908.78
28,None,300,Rajbari,300.08,330,334.56,366.01,1480,412.89,1472.28,,1690.21,1838.29
29,None,292,Shariatpur,291.94,113,297.07,112.75,1087,127.25,1087.25,,1173.75,1200.00
30,None,399,Tangail,542.28,870,527.60,1440.86,3381,1449.19,3977.64,,3889.21,5418.50
Dhaka Division,None,5965,None,5732.99,9309,5757.74,10007.57,20825,9939.22,22214.92,,22692.02,32222.49
31,None,231,Bagerhat,216.74,370,227.35,264.74,1493,235.09,1677.56,,1720.23,1942.30
32,None,204,Chuadanga,191.77,999,170.20,1105.27,1006,1257.75,1031.43,,1022.06,2136.70
33,None,1045,Jashore,1021.30,3391,991.21,3504.87,4334,3759.00,4558.13,,4667.46,8063.00
34,None,414,Jhenaidah,471.18,1792,483.21,2054.01,3112,2623.02,3315.59,,2745.44,5369.60
35,None,446,Khulna,432.04,127,430.21,194.44,2082,203.32,2025.06,,2020.38,2219.50
36,None,449,Kushtia,519.00,2346,546.00,2613.67,4908,3348.69,4640.32,,6246.31,7253.99
37,Magura,219,None,211.10,1299,210.44,1340.46,1090,1428.61,1073.44,,1093.02,2413.90
38,Meherpur,315,None,318.78,797,324.25,1037.57,769,1116.51,770.03,,814.23,1807.60
39,Narail,386,None,385.93,166,386.47,166.65,1847,168.11,1857.35,,1864.49,2024.00
40,Satkhira,705,None,718.90,586,722.14,591.18,1166,611.13,1177.92,,1212.45,1769.10
Khulna Division,None,4414,None,4486.74,11873,4491.48,12872.86,21807,14751.23,22126.83,,23406.07,34999.69
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
41,Jamalpur,650,659.00,665.00,23,33.57,33.67,3696,3895.44,3967.33,,3929.01,4001.00
42,Mymensingh,1532,1554.00,1554.00,248,263.96,287.95,3781,3903.04,4255.05,,4167.00,4543.00
43,Netrokona,247,296.00,308.00,96,173.89,221.33,2319,2326.11,2534.67,,2500.00,2756.00
44,Sherpur,303,304.00,313.00,102,107.63,107.50,1103,1105.38,1131.50,,1213.01,1239.00
Mymensingh Division,None,2732,2813.00,2840.00,469,579.05,650.45,10899,11229.97,11888.55,,11809.02,12539.00
45,Bogura,351,382.39,389.00,661,1127.08,676.86,3304,3387.92,3893.14,,4515.00,4570.00
46,Joypurhat,106,106.70,77.00,123,97.95,96.88,571,485.82,403.12,,583.77,500.00
47,Naogaon,418,404.82,416.00,123,359.39,780.74,1623,1609.36,1913.27,,1968.75,2694.01
48,Natore,535,704.96,754.00,2165,3766.72,4278.96,2600,2982.18,2932.04,,6748.90,7211.00
49,Chapai Nawabganj,840,833.42,873.00,2920,3123.06,4121.77,1351,1582.42,1803.23,,4705.48,5925.00
50,Pabna,537,470.63,501.00,4142,4227.13,4763.99,2844,3283.68,3277.01,,7510.81,8041.00
51,Rajshahi,1569,1512.88,1544.00,7192,7076.25,7426.01,2878,3017.65,3321.99,,10093.90,10748.00
52,Sirajganj,158,162.08,161.00,484,495.21,518.09,2419,2458.07,2545.91,,2953.28,3064.00
Rajshahi Division,None,4514,4577.88,4715.00,17810,20272.79,22663.30,17590,18807.10,20089.71,,39079.89,42753.01
53,Dinajpur,373,326.31,353.00,313,433.55,454.20,1784,2136.03,2212.87,,2569.58,2667.07
54,Gaibandha,279,302.52,302.82,0,31.05,33.62,1389,1364.77,1479.18,,1395.82,1512.80
55,Kurigram,141,139.22,150.00,94,107.30,113.19,834,862.70,886.81,,970.00,1000.00
56,Lalmonirhat,331,333.62,335.55,289,285.06,289.76,803,788.35,799.19,,1073.41,1088.95
57,Nilphamari,140,144.78,154.55,59,57.81,63.88,1516,1492.69,1543.28,,1550.50,1607.16
58,Panchagar,381,381.11,382.57,158,157.79,139.73,1340,1338.61,1333.37,,1496.40,1473.10
59,Rangpur,209,215.56,235.41,167,181.16,199.69,1346,1400.65,1148.64,,1581.81,1348.33
60,Thakurgaon,112,144.71,146.18,170,283.24,283.11,562,905.25,919.58,,1188.49,1202.69
Rangpur Divison,None,1966,1987.83,2060.08,1250,1536.96,1577.18,9574,10289.05,10322.92,,11826.01,11900.10
61,Habiganj,546,605.00,632.61,378,444.99,289.57,1697,2539.39,1651.75,,2984.38,1941.32
62,Moulvibazar,301,197.65,203.55,1116,870.71,831.32,1374,1773.71,1723.87,,2644.42,2555.19
63,Sunamganj,1324,1326.00,1325.00,0,0.00,0.00,596,624.00,841.00,,624.00,841.00
64,Sylhet,514,516.00,523.00,150,191.89,260.44,1519,1570.10,2046.56,,1761.99,2307.00
Sylhet Division,None,2685,2644.65,2684.16,1644,1507.59,1381.33,5186,6507.20,6263.18,,8014.79,7644.51
BANGLADESH,None,44742,45386.94,45569.77,117359,121995.50,122338.34,127498,134110.06,135646.30,,256105.56,"257984.6
4"
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
1,Barguna,685.90,604.28,617.07,0,0.00,0.00,285,301.00,301.86,,301.00,301.86
2,Barishal,399.00,225.00,230.00,20.45,25.59,25.32,1317.55,1337.41,1367.68,,1363.00,1393.00
3,Bhola,330.00,97.34,102.83,18.34,19.15,19.70,451.13,453.87,460.50,,473.02,480.20
4,Jhallokati,473.00,497.00,501.00,45.42,69.05,76.15,311.58,353.95,380.85,,423.00,457.00
5,Patuakhali,201.94,207.62,207.35,368.44,0.00,0.00,377.37,378.69,385.64,,378.69,385.64
6,Pirojpur,102.30,104.18,103.84,105.81,105.54,105.00,345.79,343.56,341.60,,449.10,446.60
Barishal Division,None,2192.14,1735.42,1762.09,558.46,219.33,226.16,3088.42,3168.48,3238.14,,3387.81,3464.30
7,Bandarban,310.00,312.90,312.90,28.78,45.26,45.83,396.98,387.11,388.86,,432.37,434.69
8,Brahmanbaria,360.93,294.23,298.60,0,0.00,0.00,1281.03,1320.81,1345.18,,1320.81,1345.18
9,Chandpur,100.96,108.54,113.33,0,0.00,0.00,468.71,549.02,553.03,,549.02,553.03
10,Chattogram,2229.24,458.03,593.23,14.85,13.32,28.29,3659.22,3664.17,3566.05,,3677.49,3594.34
11,Cumilla,1224.59,1224.00,1306.39,204.93,206.89,220.94,4070.07,4068.11,4128.27,,4275.00,4349.21
12,Cox’s Bazar,272.69,273.60,271.77,101.74,102.78,105.61,981.48,992.74,1008.12,,1095.52,1113.73
13,Feni,267.89,182.32,94.54,0,0.00,0.00,284.79,221.00,237.30,,221.00,237.30
14,Khagrachari,344.00,381.69,393.60,65.45,364.99,426.65,708.8,586.92,586.15,,951.91,1012.80
15,Lakshmipur,243.78,85.72,82.64,36.32,34.86,12.84,87.68,88.63,107.76,,123.49,120.60
16,Noakhali,274.55,275.38,276.97,0,0.00,0.00,1058.89,1075.35,1099.99,,1075.35,1099.99
17,Rangamati,510.00,514.59,513.82,532.12,610.56,657.06,1147.58,1142.65,1222.25,,1753.21,1879.31
Chattogram Division,None,6138.63,4111.00,4257.79,984.19,1378.66,1497.20,14145.23,14096.51,14242.96,,15475.17,15740.17
18,Dhaka,695.60,316.70,336.00,0,0.00,9.21,1481.64,1620.00,1612.02,,1620.00,1621.24
19,Faridpur,520.60,71.00,71.00,85.86,157.10,198.47,637.14,608.64,641.85,,765.74,840.32
20,Gazipur,288.00,291.00,298.00,139.79,142.91,149.46,471.21,495.09,508.46,,638.00,657.92
21,Gopalganj,515.00,147.67,149.01,0,152.76,160.68,502.23,652.66,687.89,,805.42,848.58
22,Kishoreganj,331.23,220.28,30.20,36.24,37.48,37.26,1627.24,1590.52,1693.01,,1628.00,1730.26
23,Madaripur,408.10,95.57,96.10,31.28,33.18,47.47,1296.84,1221.17,1129.24,,1254.35,1176.72
24,Manikganj,385.50,264.81,257.20,134.38,139.26,181.12,644.57,656.24,596.20,,795.50,777.33
25,Munshiganj,163.48,54.39,56.14,0,0.00,0.00,295.86,303.41,332.41,,303.41,332.41
26,Narayanganj,149.93,94.05,69.89,10.13,9.69,9.63,308.93,349.88,344.99,,359.57,354.62
27,Narsingdi,386.30,91.48,91.62,140.5,157.01,162.45,596.68,607.23,617.53,,764.24,779.99
28,Rajbari,207.44,51.13,54.37,48.26,54.14,88.98,256.66,381.59,322.94,,435.73,411.92
29,Shariatpur,1216.27,171.70,176.89,0,0.00,41.47,1421,1368.70,1204.50,,1368.70,1245.97
30,Tangail,1390.00,403.00,367.38,1154.43,1179.99,1118.27,1783.57,1375.01,1736.15,,2555.00,2854.42
Dhaka Division,None,6657.45,2272.78,2053.80,1780.87,2063.52,2204.48,11323.57,11230.14,11427.21,,13293.66,13631.69
31,Bagerhat,726.15,162.39,4045.49,214.74,102.26,120.09,884.26,1000.37,988.45,,1102.63,1108.53
32,Chuadanga,744.67,93.14,95.00,1670.92,1645.59,1579.68,266.08,259.90,252.22,,1905.49,1831.90
33,Jashore,1183.08,250.24,246.23,2025.02,2259.95,2288.56,953.98,1035.73,1033.44,,3295.68,3322.00
34,Jhenaidah,756.77,239.47,243.74,1359.42,1424.08,1466.10,664.58,683.26,710.30,,2107.34,2176.40
35,Khulna,590.63,232.58,238.25,191.14,196.98,228.67,743.86,750.12,797.78,,947.10,1026.45
36,Kushtia,1545.83,431.00,377.00,1139.68,1179.09,1244.63,"1942.3
2",1929.91,2391.37,,3109.00,3636.00
37,Magura,1310.00,158.00,157.00,208.5,269.29,417.26,1210.5,1360.43,1262.74,,1629.72,1680.00
38,Meherpur,321.52,101.07,106.05,460.33,449.61,447.87,156.67,153.94,150.20,,603.55,598.07
39,Narail,620.45,438.00,440.00,651.1,637.19,647.63,906.8,623.81,615.37,,1261.00,1263.00
40,Satkhira,870.96,612.18,614.10,824.57,848.73,1120.02,1266.43,1307.60,1128.03,,2156.33,2248.05
Khulna Division,None,8670.06,2718.07,6562.86,8745.42,9012.77,9560.51,8995.48,9105.07,9329.89,,18117.84,18890.40
41,Jamalpur,960.00,543.00,548.00,10.75,10.56,10.56,2513.25,2630.44,2657.44,,2641.00,2668.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
42,Mymensingh,2090.00,1249.00,1242.00,1303.59,1338.34,1311.75,5753.41,5846.66,5917.25,,7185.00,7229.00
43,Netrokona,373.81,557.78,584.00,0,14.28,14.84,1770,1685.72,2042.16,,1700.00,2057.00
44,Sherpur,450.85,221.38,223.00,68.16,74.36,78.80,1106.84,1165.64,1169.21,,1240.00,1248.00
Mymensingh Division,None,3874.66,2571.16,2597.00,1382.5,1437.54,1415.95,11143.5,11328.46,11786.06,,12766.00,13202.00
45,Bogura,1042.45,252.43,252.98,559.18,563.56,660.05,2513.25,1140.38,1028.82,,1703.94,1688.87
46,Joypurhat,497.20,149.44,146.43,98.16,82.44,283.66,1425.04,1403.77,1164.79,,1486.21,1448.45
47,Naogaon,942.88,233.24,244.72,1124.78,1562.62,1848.66,1250.09,1332.99,1485.33,,2895.61,3333.99
48,Natore,990.07,230.13,251.47,873.66,1163.65,1348.81,642.81,788.90,907.53,,1952.55,2256.34
49,Chapai Nawabganj,1200.31,330.97,215.97,1863.76,1811.59,1910.03,516.33,767.93,816.38,,2579.52,2726.40
50,Pabna,824.58,162.91,172.58,450.1,1113.63,1210.63,1302.71,1468.50,1537.24,,2582.13,2747.87
51,Rajshahi,2391.76,689.89,682.74,7232.86,7367.09,7443.59,1304.69,1292.46,1315.63,,8659.55,8759.23
52,Sirajganj,475.28,73.48,73.69,36.79,39.09,42.79,1363.13,1363.13,1782.41,,1517.80,1825.20
Rajshahi Division,None,8364.53,2122.49,2040.57,12239.29,13703.67,14748.23,10318.05,9558.06,10038.13,,23261.73,24786.36
53,Dinajpur,610.00,163.00,168.14,331.2,346.30,383.49,572.8,595.70,700.40,,942.00,1083.88
54,Gaibandha,310.55,75.40,75.82,94.96,99.06,101.83,232.45,378.06,390.99,,477.12,492.82
55,Kurigram,176.33,76.53,78.00,43.33,47.61,52.37,313.85,310.46,346.63,,358.07,399.00
56,Lalmonirhat,220.62,64.32,73.66,35.9,30.13,59.14,172.4,152.37,236.59,,182.50,295.73
57,Nilphamari,696.01,129.75,135.50,710.43,730.03,716.97,1284.51,1331.68,1352.96,,2061.71,2069.94
58,Panchagar,230.53,99.07,105.05,123.11,125.18,122.52,274.99,286.16,316.94,,411.34,439.47
59,Rangpur,345.20,79.03,80.21,193.06,200.12,271.23,374.14,398.98,540.27,,599.10,811.50
60,Thakurgaon,200.98,49.77,49.67,31.83,32.18,32.22,509.45,517.58,529.72,,549.76,561.94
Rangpur Divison,None,2790.22,736.87,766.04,1563.82,1610.61,1739.78,3734.59,3970.99,4414.50,,5581.60,6154.27
61,Habiganj,195.46,191.14,186.22,0,0.00,0.00,579.47,587.88,604.79,,587.88,604.79
62,Moulvibazar,420.89,172.67,182.12,92.58,144.64,144.34,1436.84,1201.96,1198.44,,1346.60,1342.78
63,Sunamganj,407.58,250.00,250.00,0,0.00,0.00,1253,1312.00,1314.00,,1312.00,1314.00
64,Sylhet,725.00,476.20,462.00,43.67,221.98,186.70,1468.45,1492.02,1501.30,,1714.00,1688.00
Sylhet Division,None,1748.93,1090.01,1080.34,136.25,366.62,331.04,4737.76,4593.86,4618.54,,4960.48,4949.57
BANGLADESH,None,40436.62,17357.80,21120.49,27390.8,29792.72,31723.34,67486.6,67051.57,69095.42,,96844.29,100818.76
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
7,Bandarban,183.17,611.73,612.00,523.00,527.03,527.12,146.00,146.33,147.68,,673.36,674.80
8,Brahmanbaria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
10,Chattogram,2.75,4.77,5.18,0.42,6.26,7.52,0.45,0.88,0.88,,7.14,8.40
11,Cumilla,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
12,Cox’s Bazar,38.31,22.84,22.84,0.00,0.00,0.00,21.85,22.56,22.50,,22.56,22.50
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
14,Khagrachari,433.94,483.17,488.02,864.39,865.98,847.87,104.71,108.94,110.22,,974.92,958.09
15,Lakshmipur,2.16,0.43,0.42,0.00,0.00,0.00,0.41,0.41,0.45,,0.41,0.45
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00
17,Rangamati,378.73,378.49,378.66,957.82,981.17,961.81,207.29,204.40,207.87,,1185.57,1169.68
