District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
43,Netrokona,11681,4727,4.30,10.626,50228,12823,5189,3.90,9.637,50010
44,Sherpur,5322,2154,5.40,13.344,28739,5815,2353,5.67,14.011,32971
5,"Mymensingh
Division",101177,40944,3.70,9.146,374494,104021,42095,4.13,10.202,429461
45,Bogura,29596,11977,5.19,12.825,153605,29825,12070,4.80,11.861,143160
46,Joypurhat,5183,2097,5.56,13.739,28817,5008,2027,4.83,11.935,24189
47,Naogaon,13547,5482,5.77,14.258,78164,14705,5951,4.85,11.985,71319
48,Natore,70954,28714,4.76,11.762,337741,76517,30965,4.78,11.812,365751
49,"Chapai
Nawabganj",4477,1812,5.47,13.517,24489,5248,2124,5.49,13.566,28812
50,Pabna,106662,43164,5.07,12.528,540776,108407,43870,5.25,12.973,569137
51,Rajshahi,42684,17273,5.72,14.135,244152,45364,18358,4.90,12.108,222284
52,Sirajganj,38667,15648,4.57,11.293,176708,39602,16026,4.67,11.540,184941
6,"Rajshahi
Division",311770,126166,5.08,12.558,1584454,324676,131389,4.96,12.251,1609592
53,Dinajpur,9822,3975,5.50,13.591,54021,9905,4008,4.65,11.491,46058
54,Gaibandha,36939,14948,4.99,12.331,184326,37227,15065,4.59,11.342,170872
55,Kurigram,45293,18329,5.14,12.701,232806,46388,18772,5.23,12.924,242609
56,Lalmonirhat,8953,3623,4.78,11.812,42795,9519,3852,5.10,12.603,48547
57,Nilphamari,17279,6992,5.32,13.146,91924,18560,7511,5.20,12.850,96512
58,Panchagar,21155,8561,5.18,12.800,109583,21769,8809,5.91,14.604,128655
59,Rangpur,20183,8168,6.07,15.000,122511,21319,8627,5.88,14.530,125356
60,Tahkurgaon,14567,5895,5.50,13.591,80119,16163,6541,5.52,13.640,89220
7,"Rangpur
Division",174191,70491,5.27,13.024,918084,180850,73186,5.24,12.951,947829
61,Habigonj,891,361,5.16,12.751,4598,856,346,5.42,13.393,4640
62,Moulvibazar,0,0,0,0.000,0,0,0,0.00,0.000,0
63,Sunamganj,1715,694,4.89,12.084,8386,1933,782,4.94,12.207,9549
64,Sylhet,0,0,0,0.000,0,0,0,0.00,0.000,0
8,Sylhet Division,2606,1055,4.98,12.307,12984,2789,1129,5.09,12.307,14189
BANGLADESH,,"178312
3",727382,4.73,11.593,8432395,1803634,729891,4.69,11.588,8457674
