District/ Division,,2020-21,,2021-22,,2022-23,,,,,
4,Khulna Division,14377,93197,11732.92,76822.05,,12221.69,,,98498.53,
41,Jamalpur,1267,10680,1230.00,10942.00,,1220.00,,,10960.00,
42,Mymensingh,2640,22265,2503.00,29369.00,,2522.00,,,29854.00,
43,Netrokona,421,2830,475.00,4340.00,,503.00,,,5927.00,
44,Sherpur,717,5875,709.00,7278.00,,667.00,,,7110.00,
5,Mymensingh Division,5045,41650,4917.00,51929.00,,4912.00,,,53851.00,
45,Bogura,1056.50,6378.63,1347.00,13192.00,,1354.32,,,13270.00,
46,Joypurhat,396.18,2744.27,398.00,2737.00,,402.54,,,3552.61,
47,Naogaon,1218.72,8096.58,1238.00,11004.00,,1268.00,,,15599.00,
48,Natore,667.50,5086,671.00,8653.00,,642.00,,,6499.00,
49,Chapai Nawabganj,830.20,3700.76,879.00,4027.00,,883.00,,,4661.00,
50,Pabna,1206,9114,1203.00,9535.00,,1289.00,,,12695.00,
51,Rajshahi,1617.20,14838.44,1600.00,14980.00,,1549.00,,,14615.00,
52,Sirajganj,755.07,5211.48,739.00,5514.00,,663.00,,,5077.00,
6,Rajshahi Division,7747.37,55170.16,8075.00,69642.00,,8050.86,,,75968.61,
53,Dinajpur,2492,24224,2473.00,24245.00,,2474.00,,,21642.00,
54,Gaibandha,492,2976,616.31,4151.38,,607.49,,,4396.63,
55,Kurigram,582,4118,604.50,4301.96,,611.75,,,4351.65,
56,Lalmonirhat,1097,9708.45,1093.75,13639.83,,1100.25,,,13664.53,
57,Nilphamari,1426,15359.68,1418.50,13728.10,,1421.80,,,12578.10,
58,Panchagar,946,5495,889.00,5203.70,,1026.00,,,7049.37,
59,Rangpur,2072,13602,2074.00,13909.00,,2080.00,,,13750.00,
60,Thakurgaon,706,5510,709.03,5535.41,,722.77,,,5636.61,
7,Rangpur Divison,9813,80993.13,9878.09,84714.38,,10044.06,,,83068.89,
61,Habiganj,539.30,4193.73,565.70,4681.78,,592.77,,,4997.26,
62,Moulvibazar,435.25,2433.04,450.15,2643.03,,450.51,,,2674.43,
63,Sunamganj,593,5825,594.00,5837.00,,596.00,,,5842.00,
64,Sylhet,899,5543,901.00,5548.00,,888.00,,,5512.00,
8,Sylhet Division,2466.55,17994.77,2510.85,18709.81,,2527.28,,,19025.69,
BANGLADESH,,55201.54,380259.38,53129.23,395035.65,,53463.62,,,422322.60,
