District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
50,Pabna,1333,1412,923.00,6550,6541,5778.68,22609,22565,"19958.3
2",29159,29106,"25737.0
0"
51,Rajshahi,400,1130,1137.00,2016,2106,1888.60,8371,8702,8280.40,10387,10808,"10169.0
0"
52,Sirajganj,94,366,380.00,222,3151,191.00,18747,13794,"15008.4
0",18969,16945,"15199.4
0"
6,Rajshahi Division,3632,7736,7700.00,19679,18530,"32148.8
4",98011,87120,"87809.4
6",117690,105650,"119958.
30"
53,Dinajpur,1590,2526,2492.00,10376,10382,"10096.6
0",24983,25433,"23779.4
0",35359,35815,"33876.0
0"
54,Gaibandha,643,601,607.08,0,0,0.00,11811,11610,"12485.0
0",11811,11610,"12485.0
0"
55,Kurigram,737,698,700.25,357,354,366.55,9424,9230,9880.15,9781,9584,"10246.7
0"
56,Lalmonirhat,380,1021,1023.16,268,380,276.51,6905,9743,7183.75,7173,10123,7460.26
57,Nilphamari,170,1270,1129.43,998,734,919.77,31201,30211,"27418.0
2",32199,30945,"28337.7
9"
58,Panchagar,250,545,570.89,1061,1093,975.44,25083,23032,"24919.0
6",26144,24125,"25894.5
0"
59,Rangpur,300,710,704.27,1591,1629,1663.85,15564,15694,"15585.3
6",17155,17323,"17249.2
1"
60,Thakurgaon,986,985,3161.00,4086,4007,4060.66,5101,5135,5148.26,9187,9142,9208.92
7,Rangpur Divison,5056,8356,"10388.0
8",18737,18579,"18359.3
8",130072,130088,"126399.
00",148809,148667,"144758.
38"
61,Habiganj,650,947,949.70,2297,2642,2839.15,17788,21008,"22224.9
9",20085,23650,"25064.1
4"
62,Moulvibazar,1366,987,1095.96,3177,3291,3273.29,5210,5420,7320.84,8387,8711,"10594.1
3"
63,Sunamganj,400,1058,1063.00,751,0,0.00,4581,6197,6255.00,5332,6197,6255.00
64,Sylhet,450,927,889.00,1400,1295,1314.42,5753,4738,4927.58,7153,6033,6242.00
8,Sylhet Division,2866,3919,3997.66,7625,7228,7426.86,33332,37363,"40728.4
1",40957,44591,"48155.2
7"
BANGLADESH,,44630,69161,"75842.0
4",219135,197530,"208917.
83",877866,852360,"837044.
85",1097001,1049890,"1062302
.28"
