"Tobacco
Matihari",10,707,07,10,727.10,08,06,721.57,05
"Tobacco
Verjinia",70,976,68,70,1008.52,71,69,1025.42,70
Total Tobacco,100,.89,89,100,919.73,93,93,935.00,87
Betelnut,115,3.82,346,97,3.64,334,97,3.77,342
Betel Leaves,56,3865,215,54,3835.34,207,54,3883.04,212
"Total Drugs &
Narcotics",407,1818,740,391,2109.97,825,385,1906.49,734
VEGETABLES (Winter),,,,,,,,,
Rabi Brinjal,83,4621,385,85,4838.16,409,86,5157.93,446
Rabi Pumpkin,44,4910,216,45,5140.81,229,45,5059.85,227
Cauliflower,56,5259,294,56,6066.39,342,56,6089.94,344
Cabbage,55,6888,380,53,7435.57,395,53,7899.25,422
Watergourd,50,5019,252,51,5547.87,284,50,5714.97,284
Tomato,73,6144,448,73,6046.35,442,77,6098.07,469
Radish,67,4693,316,67,4831.77,322,67,5056.18,341
Beans,55,3080,170,57,2986.74,170,64,3582.44,228
Carrot,06,4805,28,06,5036.39,31,6,5435.81,35
Palongsak,25,2454,61,25,2523.87,62,25,2581.43,63
Lalsak,32,2062,65,32,2255.06,73,32,2155.04,70
Lausak,18,1848,32,18,2010.95,36,17,1974.60,34
Shallgam,03,2747,09,03,2758.39,10,04,2921.43,11
Uthche,14,2012,29,15,2110.93,32,16,2226.58,37
Beat,.098,2.56,.202,0.29487,3071.29,01,0.33314,3184.13,01
Barbati,18,1882,33,18,2228.48,40,18,2335.66,42
Dundal,11,2143,24,11,2410.51,27,11,2645.69,30
Kachur Lati,42,18,2641,19,2563.41,49,19,2641.16,49
Green Banana,29,6185,179,29,6404.93,183,29,6348.01,186
Maan Kachu,05,3411,16,05,3451.11,17,05,3702.89,19
Mura Kachu,10,3438,33,09,369.96,34,10,3817.93,37
Kachu Sak,04,1354,05,04,1556.19,07,04,1602.02,06
Owl Kachu,02,7675,17,02,8183.34,18,02,8978.22,20
Mukhi Kachu,24,4655,110,24,5129.43,123,25,5242.89,132
Pani Khacu,14,4415,62,14,4599.42,65,14,5019.35,72
Pat Sak,07,1819,13,07,1946.30,14,08,1968.40,15
Danta Sak,14,2163,30,14,2265.23,32,15,2366.09,35
Kalmi Sak,05,1995,11,06,2025.19,12,06,2106.93,13
"Total Winter
Vegetables",766.098,7648.82,5859.202,748.29487,4624.33,3459,764.33314,4801.00,3668
VEGETABLES (Summer),,,,,,,,,
Kakrol,14,2504,34,13,3003.09,40,14,3221.78,44
"Pumpkin, Kharif",30,4692,140,30,4813.84,145,30,5736.96,156
"Brinjal, Kharif",49,4109,202,49,424.13,210,49,4786.36,235
Patal,26,3778,98,26,4282.30,110,26,4875.92,126
Crop,2020-21,,,2021-22,,,2022-23,,
,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
Lady’s Finger,30,2332,70,30,2811.04,85,31,3095.18,96
Jhinga,26,2169,56,26,2311.00,61,26,2880.60,76
Karala,27,2212,59,29,2274.66,65,29,2860.89,83
Chalkumra,26,3408,88,26,3601.57,94,26,3887.34,102
Cucumber,25,3752,95,26,3898.69,100,26,4184.79,109
Khirai,17,3588,62,17,3760.91,64,18,4048.69,72
Puisak,27,3591,98,28,3647.49,102,28,3805.99,108
Chichinga,19,2371,46,20,2442.80,48,20,2622.19,52
Danta,27,3156,86,28,3167.75,89,28,3259.16,91
Shajna,07,26.12,29,07,26.47,30,08,27.11,31
Katcha Papya,26,31,292,22,30.46,308,22,31.15,316
"Total Summer
Vegetables",376,41719.12,1455,377,40496.2,1551,381,4454.06,1697
"Total
Vegetables
(Winter &
Summer)",1142.098,6404.55,7314.202,1125.295,4553.33,5010,1145,8685.58,5365
OTHER FOOD CROPS,,,,,,,,,
Potato,,,,,,,,,
Local,171,4648,796,167,4787,799,166,5676,945
HYV,987,9212,9091,980,9538,9346,959,9889,9487
Total Potato,1158,8538,9887,1147,8844,10145,1125,9272,10432
Sweet Potato,66,4270,280,72,4247.05,304,69,4331.15,298
Total,1224,8306,10167,1219,8571,10449,1194,8985,10730
"Fodder (Bhadoi
& Rabi)",46,6173,284,49,6918,339,50,8480,424
Mulbery,01,30,31,01,24.00,29,01,19.22,23
Total Fodder,47,670,315,50,680,340,51,876,447
FLOWERS:,,,,,,,,,
Rose Flower,01,7.42,22,01,7.10,22,01,7.43,21
"Marry Gold
flower",01,1767,02,01,1737.98,18,01,2561.44,03
Tube Rose,03,3342,04,01,3367.29,04,01,5201.92,03
Belly,0.15,.22,.006,0.02318,0.40,0.0106,.2534,1.15,0.0814
Gladiolas,01,4408,04,01,6804.57,04,0.473,6313.92,03
Cosmos,.010,666,.006,0.01293,653.25,0.0844,0.014,566.47,0.008
Chrysanthemum,.027,409,.011,0.03718,3667.48,0.13636,0.03531,3967.43,0.14009
Dalia,.032,,.012,-,-,-,-,-,-
Total Flower,05,640,32,4,12.00,48,3,10.33,31
FRUITS(Temporary),,,,,,,,,
Banana (Ripe),122,6761,826,123,6739.62,826,123,6854.32,840
Pineapple,34,6077,208,34,6139.16,206,32,6060,197
Melon (Bangi),10,4696,47,10,4829.77,50,10,4875.30,51
Water Melon,41,8466,346,58,954.23,550,59,4875.30,556
Strawberry,.041,3326,.139,0.06583,2546.86,0.16766,0.084,9459.88,0.210
Waterfruites,.405,4680,02,0.4532,4494.77,02,0.475,4848.91,02
Total,207.446,34006,1429.139,225.51903,25704.41,1634.16766,224.559,36973.71,1646.21
Crop,2020-21,,,2021-22,,,2022-23,,
,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
"Temporary
Fruits",,,,,,,,,
PERMANENT FRUITS,,,,,,,,,
Mango,287,70.65,1215,299,68.54,1207,306,61.79,1483
Jack Fruit,45,184.44,1097,69,116.74,1050,76,118.88,1062
Papaya (ripe),08,23.28,126,12,26.33,147,18,25.27,145
Litchi,17,57..82,87,20,55.96,93,22,60.76,105
Guava,59,24.81,244,44,25.19,245,45,25.97,256
Ber,39,43.96,108,40,39.09,95,17,37.86,97
Orange,02,28.38,04,02,25.60,04,02,23.40,04
Pamelo,14,4029,79,14,37.68,76,13,35.70,100
Lime & Lemon,162,16.63,82,30,18.34,95,33,19.03,72
Tetul,06,35.31,10,06,36.88,10,06,35.95,11
Jamrul,07,35.67,13,06,37.17,13,06,36.95,13
Green Coconut,63,69.32,443,61,71.66,459,55,71.18,457
Wood apple,18,51.93,30,18,50.46,29,18,51.15,30
Black Berry,14,45.79,57,13,44.62,54,13,43.45,53
Kamranga,04,35.22,14,04,36.42,15,04,35.42,15
Jalpai,05,40.20,19,51,39.18,18,05,40.47,19
Amra,11,47.03,43,12,46.60,44,12,48.51,44
Atha,02,24.52,05,02,22.94,05,02,21.63,05
Dewya,02,24.52,05,0.07421,24.52,02,0.06972,22.81,01
Lotkon,.407,31.65,02,0.45671,32.89,03,0.47025,33.17,03
Amlocki,02,26.35,03,02,25.79,03,02,24.00,02
Chalta,05,61.84,11,03,56.91,11,03,58.75,10
Dragon,.349,5.04,01,01,4.08,03,01,4.61,06
Dalim,1,10.42,,01,10.08,01,01,10.36,02
Khormchha,.027,19.36,.166,0.06019,17.430,0.15512,0.064,17.22,.159
Sofeda,02,33.64,07,01,32.36,06,02,33.32,07
Sharifa,01,27.76,02,01,20.53,02,01,19.30,02
Malta,13,24,07,04,24.14,10,04,17.78,09
"Total
Permanent
Fruits",789,-,3714,671,-,3700,666,,4013
"Total Fruit
(Temporary +
Permanent)",996,-,5143,896,-,5334,890,,5659
