"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
Rajshahi Division,,428,632,44397,172826,26369,188645,1560,27595,72754,389698,5.36
50,Bandarban,133,196,332,884,91,498,0,0,556,1578,2.84
51,Brahmanbaria,72,106,4329,17162,2454,19201,68,1050,6923,37519,5.42
52,Chandpur,174,251,6410,23600,2872,15462,0,0,9456,39313,4.16
53,Chattogram,6450,9288,12915,47290,1776,11310,80,1320,21221,69208,3.26
54,Cumilla,1445,2111,12548,49921,7529,70744,1112,22018,22634,144794,6.40
55,Cox’s Bazar,70,101,1218,4571,64,392,0,0,1352,5064,3.75
56,Feni,305,442,4066,15954,1076,9674,51,723,5498,26793,4.87
57,Khagrachhari,156,233,816,2215,99,682,0,0,1071,3130,2.92
58,Lakshmipur,239,332,6027,22168,1869,10690,0,0,8135,33190,4.08
59,Noakhali,948,1325,11761,45992,452,4297,3,43,13164,51657,3.92
60,Rangamati,84,119,405,1193,10,77,0,0,499,1389,2.78
Chattogram Division,,10076,14504,60827,230950,18292,143027,1314,25154,90509,413635,4.57
61,Habiganj,902,1316,2506,8678,1283,8333,109,1169,4800,19496,4.06
62,Moulvibazar,3189,4017,2730,10544,1270,8994,3,41,7192,23596,3.28
63,Sunamganj,489,708,2437,8814,179,1530,4,60,3109,11112,3.57
64,Sylhet,973,1279,3413,9763,1636,9787,18,237,6040,21066,3.49
Sylhet Division,,5553,7320,11086,37799,4368,28644,134,1507,21141,75270,3.56
TOTAL,,31681,43451,239129,891921,120889,879565,18984,351778,410683,2166715,5.28
