District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
40,Satkhira,877,800,870.96,817,1302,824.57,1523,2325,1266.43,2340,3627,2091
4,Khulna Division,7894,8351,8670.06,8566,10303,8745.42,8925,10958,8995.48,17491,21261,"17740.
9"
41,Jamalpur,899,950,960.00,0,11,10.75,2503,2638,2513.25,2503,2649,2524
42,Mymensingh,2068,2032,2090.00,1073,1192,1303.59,4680,5202,5753.41,5753,6394,7057
43,Netrokona,446,361,373.81,0,0,0,2543,2239,1770,2543,2239,1770
44,Sherpur,368,400,450.85,317,66,68.16,32399,1224,1106.84,32716,1290,1175
5,"Mymensingh
Division",3781,3743,3874.66,1390,1269,1382.5,42125,11303,11143.5,43515,12572,12526
45,Bogura,899,950,1042.45,514,750,559.18,1604,2254,2513.25,2145,3004,"3072.4
3"
46,Joypurhat,495,450,497.20,73,106,98.16,1326,1550,1425.04,1399,1656,1523.2
47,Naogaon,649,600,942.88,812,1026,1124.78,1613,1877,1250.09,2425,2903,"2374.8
7"
48,Natore,830,900,990.07,1123,1360,873.66,12680,1636,642.81,2803,2996,"1516.4
7"
49,Chapai Nawabganj,786,780,1200.31,1420,2193,1863.76,452,545,516.33,1872,2738,"2380.0
9"
50,Pabna,820,800,824.58,413,523,450.1,1267,1567,1302.71,1680,2090,"1752.8
1"
51,Rajshahi,2332,2350,2391.76,7570,7958,7232.86,1067,1368,1304.69,8637,9326,"8537.5
5"
52,Sirajganj,448,350,475.28,21,17,36.79,1296,1371,1363.13,1317,1388,"1399.9
2"
6,Rajshahi Division,7259,7180,8364.53,11973,13933,12239.29,10305,12168,"10318.0
5",22278,26101,"22557.
34"
53,Dinajpur,461,490,610.00,408,411,331.2,800,730,572.8,1208,1141,904
54,Gaibandha,346,300,310.55,129,162,94.96,274,358,232.45,403,520,327.41
55,Kurigram,170,120,176.33,44,53,43.33,292,347,313.85,336,400,357.18
56,Lalmonirhat,198,200,220.62,42,40,35.9,188,190,172.4,230,230,208.3
57,Nilphamari,673,650,696.01,370,707,710.43,728,1335,1284.51,1098,2042,"1994.9
4"
58,Panchagar,152,220,230.53,172,182,123.11,301,303,274.99,473,485,398.1
59,Rangpur,335,320,345.20,181,261,193.06,385,577,374.14,566,838,567.2
60,Thakurgaon,143,150,200.98,31,37,31.83,476,519,509.45,507,556,541.28
7,Rangpur Divison,2479,2450,2790.22,1377,1853,1563.82,3444,4359,3734.59,4821,6212,"5298.4
1"
61,Habiganj,191,181,195.46,0,0,0,659,552,579.47,659,552,579.47
62,Moulvibazar,389,390,420.89,86,86,92.58,1828,1828,1436.84,1914,1914,"1529.4
2"
63,Sunamganj,399,400,407.58,214,0,0,910,1243,1253,1124,1243,1253
64,Sylhet,669,680,725.00,56,128,43.67,2061,2043,1468.45,2117,2171,"1512.1
2"
8,Sylhet Division,1647,1651,1748.93,356,214,136.25,5458,5666,4737.76,5814,5880,"4874.0
1"
BANGLADESH,,38506,38652,"40436.6
2",26643,30347,27390.8,104324,77611,67486.6,130967,107958,"94877.
4"
